Pathway	Utah Expression 24vs35 PermutedAUCs	Ontario Expression 24vs35 PermutedAUCs	Utah Expression 0124vs35 PermutedAUCs	Ontario Expression 0124vs35 PermutedAUCs	Lim PermutedAUCs	Bellacosa Breast PermutedAUCs
KEGG_GLUTAMATERGIC_SYNAPSE	0.006	0.192	0.039	0.235	0.027	0.009
KEGG_GLUTATHIONE_METABOLISM	0.111	0.103	0.012	0.086	0.264	0.135
KEGG_GLYCEROLIPID_METABOLISM	0.027	0.001	0.01	0.006	0.196	0.032
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.021	0.006	0.037	0.043	0.101	0.012
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.015	0.501	0.196	0.079	0.768	0.544
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.023	0.287	0.009	0.157	0.131	0.25
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.052	0.353	0.012	0.047	0.269	1
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	0.266	0.043	0.78	0.898	0.325	0.996
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	0.657	0.78	0.991	0.994	1	0.959
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	0.076	0.491	0.949	0.027	0.997	1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.019	0.095	0.782	0.09	1	1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	0.883	0.987	1	0.972	1	0.754
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	0.855	0.561	0.131	0.931	1	0.824
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOLGPI_ANCHOR_BIOSYNTHESIS	0.355	0.961	0.88	0.027	0.201	0.988
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.897	0.952	0.952	0.001	0.968	0.068
KEGG_GNRH_SIGNALING_PATHWAY	0.001	0.415	0.014	0.347	0.023	0.112
KEGG_GRAFT_VERSUS_HOST_DISEASE	0.262	0.401	0.003	0.409	1	0.021
KEGG_HEDGEHOG_SIGNALING_PATHWAY	0.104	0.551	0.004	0.179	0.029	0.119
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.002	0.212	0.002	0.278	0.036	0.532
KEGG_HEPATITIS_C	0.061	0.094	0.025	0.048	0.052	0.057
KEGG_HISTIDINE_METABOLISM	0.005	0.051	0.032	0.172	0.6	0.7
KEGG_HOMOLOGOUS_RECOMBINATION	0.001	0.152	0.001	0.336	0.016	1
KEGG_HUNTINGTONS_DISEASE	0.009	0.155	0.007	0.448	0.016	0.015
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.005	0.068	0.005	0.067	0.041	0.156
KEGG_INFLUENZA_A	0.152	0.105	0.01	0.127	0.023	0.012
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.001	0.265	0.001	0.09	0.153	0.221
KEGG_INSULIN_SIGNALING_PATHWAY	0.001	0.185	0.001	0.059	0.033	0.012
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.019	0.08	0.011	0.531	0.11	0.001
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.037	0.191	0.001	0.015	0.116	0.228
KEGG_LEISHMANIASIS	0.322	0.048	0.026	0.069	0.418	0.007
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.005	0.263	0.208	0.001	0.052	0.301
KEGG_LINOLEIC_ACID_METABOLISM	0.959	0.083	0.579	0.363	0.858	1
KEGG_LIPOIC_ACID_METABOLISM	0.51	0.754	0.783	0.399	0.753	0.993
KEGG_LONG_TERM_DEPRESSION	0.002	0.09	0.003	0.218	0.049	0.087
KEGG_LONG_TERM_POTENTIATION	0.052	0.081	0.006	0.711	0.062	0.032
KEGG_LYSINE_BIOSYNTHESIS	0.327	0.673	0.76	0.827	0.993	0.79
KEGG_LYSINE_DEGRADATION	0.003	0.148	0.001	0.083	0.014	0.815
KEGG_LYSOSOME	0.009	0.05	0.001	0.124	0.034	0.147
KEGG_MALARIA	0.01	0.381	0.048	0.151	0.053	0.009
KEGG_MAPK_SIGNALING_PATHWAY	0.001	0.024	0.001	0.276	0.029	0.078
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.154	0.702	0.185	0.168	0.588	0.983
KEGG_MEASLES	0.087	0.052	0.011	0.019	0.05	0.014
KEGG_MELANOGENESIS	0.002	0.03	0.001	0.328	0.062	0.384
KEGG_MELANOMA	0.004	0.001	0.007	0.03	0.008	0.332
KEGG_METABOLIC_PATHWAYS	0.001	0.02	0.001	0.076	0.095	0.033
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.303	0.322	0.465	0.803	0.075	0.143
KEGG_MINERAL_ABSORPTION	0.029	0.331	0.001	0.566	0.156	0.267
KEGG_MISMATCH_REPAIR	0.01	0.406	0.05	0.403	0.068	1
KEGG_MRNA_SURVEILLANCE_PATHWAY	0.012	0.628	0.002	0.215	0.009	0.014
KEGG_MTOR_SIGNALING_PATHWAY	0.001	0.917	0.001	0.04	0.022	0.944
KEGG_MUCIN_TYPE_O_GLYCAN_BIOSYNTHESIS	0.016	0.074	0.078	0.04	0.955	0.182
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.006	0.023	0.001	0.028	0.249	0.32
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.109	0.101	0.034	0.091	0.164	0.013
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.005	0.073	0.001	0.252	0.012	0.152
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	0.437	0.071	0.282	0.016	0.249	1
KEGG_NITROGEN_METABOLISM	0.006	0.055	0.937	0.013	0.038	1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.011	0.739	0.028	0.213	0.041	0.581
KEGG_NON_HOMOLOGOUS_END_JOINING	0.128	0.294	0.85	0.737	0.998	0.836
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.003	0.01	0.003	0.08	0.029	0.139
KEGG_NOTCH_SIGNALING_PATHWAY	0.016	0.114	0.001	0.074	0.066	0.332
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.016	0.241	0.002	0.097	0.038	0.178
KEGG_N_GLYCAN_BIOSYNTHESIS	0.045	0.316	0.226	0.118	0.046	0.048
KEGG_OLFACTORY_TRANSDUCTION	0.475	0.605	0.054	0.808	0.033	0.095
KEGG_ONE_CARBON_POOL_BY_FOLATE	0.92	0.974	0.025	0.174	0.566	0.924
KEGG_OOCYTE_MEIOSIS	0.001	0.541	0.001	0.166	0.038	0.105
KEGG_OSTEOCLAST_DIFFERENTIATION	0.176	0.074	0.003	0.015	0.054	0.035
KEGG_OTHER_GLYCAN_DEGRADATION	0.919	0.653	0.942	0.693	1	1
KEGG_OTHER_TYPES_OF_O_GLYCAN_BIOSYNTHESIS	0.007	0.547	0.534	0.212	0.214	0.002
KEGG_OXIDATIVE_PHOSPHORYLATION	0.012	0.37	0.001	0.051	0.077	0.056
KEGG_P53_SIGNALING_PATHWAY	0.001	0.156	0.003	0.053	0.033	0.155
KEGG_PANCREATIC_CANCER	0.006	0.012	0.006	0.152	0.04	0.346
KEGG_PANCREATIC_SECRETION	0.024	0.101	0.049	0.023	0.117	0.004
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	0.476	0.181	0.967	0.008	1	1
KEGG_PARKINSONS_DISEASE	0.038	0.221	0.008	0.322	0.02	0.02
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	0.019	0.913	0.003	0.979	0.023	0.05
KEGG_PATHWAYS_IN_CANCER	0.001	0.004	0.001	0.031	0.029	0.112
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	0.655	0.403	0.095	0.221	0.737	0.003
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.015	0.051	0.001	0.101	0.919	0.924
KEGG_PEROXISOME	0.015	0.009	0.004	0.005	0.473	0.058
KEGG_PHAGOSOME	0.017	0.511	0.027	0.225	0.045	0.013
KEGG_PHENYLALANINE_METABOLISM	0.696	0.992	0.543	0.836	1	0.045
KEGG_PHENYLALANINE_TYROSINE_AND_TRYPTOPHAN_BIOSYNTHESIS	0.564	0.597	0.774	0.458	0.998	0.001
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.003	0.076	0.001	0.002	0.096	0.046
KEGG_PHOTOTRANSDUCTION	0.045	0.76	0.23	0.187	1	0.703
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	0.941	0.963	0.558	0.82	0.347	0.673
KEGG_PPAR_SIGNALING_PATHWAY	0.158	0.464	0.06	0.105	0.279	0.17
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0.939	0.941	0.803	0.989	0.948	0.807
KEGG_PRIMARY_IMMUNODEFICIENCY	0.001	0.701	0.007	0.057	0.024	0.602
KEGG_PRION_DISEASES	0.1	0.014	0.279	0.034	0.027	1
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.001	0.005	0.001	0.011	0.016	0.367
KEGG_PROPANOATE_METABOLISM	0.035	0.129	0.412	0.001	0.122	0.853
KEGG_PROSTATE_CANCER	0.015	0.001	0.001	0.119	0.024	0.056
KEGG_PROTEASOME	0.122	0.304	0.16	0.594	0.248	0.012
KEGG_PROTEIN_DIGESTION_AND_ABSORPTION	0.076	0.274	0.052	0.392	0.013	0.194
KEGG_PROTEIN_EXPORT	0.185	0.064	0.012	0.005	0.035	0.977
KEGG_PROTEIN_PROCESSING_IN_ENDOPLASMIC_RETICULUM	0.002	0.03	0.001	0.118	0.03	0.03
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.006	0.439	0.556	0.268	0.06	1
KEGG_PURINE_METABOLISM	0.001	0.06	0.001	0.021	0.026	0.044
KEGG_PYRIMIDINE_METABOLISM	0.001	0.304	0.001	0.1	0.028	0.079
KEGG_PYRUVATE_METABOLISM	0.116	0.035	0.113	0.041	0.665	0.728
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.002	0.016	0.002	0.812	0.024	0.035
KEGG_REGULATION_OF_AUTOPHAGY	0.096	0.378	0.043	0.281	0.023	0.977
KEGG_RENAL_CELL_CARCINOMA	0.004	0.357	0.011	0.165	0.014	0.115
KEGG_RENIN_ANGIOTENSIN_SYSTEM	0.365	0.225	0.82	0.972	0.015	0.999
KEGG_RETINOL_METABOLISM	0.465	0.246	0.371	0.042	0.104	0.349
KEGG_RHEUMATOID_ARTHRITIS	0.31	0.009	0.019	0.025	0.057	0.017
KEGG_RIBOFLAVIN_METABOLISM	0.595	0.265	0.195	0.433	1	0.001
KEGG_RIBOSOME	0.002	0.938	0.001	0.386	0.049	0.93
KEGG_RIBOSOME_BIOGENESIS_IN_EUKARYOTES	0.038	0.692	0.002	0.492	0.01	0.063
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.001	0.259	0.312	0.103	0.085	0.161
KEGG_RNA_DEGRADATION	0.002	0.444	0.012	0.65	0.021	0.041
KEGG_RNA_POLYMERASE	0.007	0.225	0.001	0.221	0.027	0.026
KEGG_RNA_TRANSPORT	0.008	0.76	0.001	0.55	0.008	0.344
KEGG_SALIVARY_SECRETION	0.004	0.449	0.012	0.04	0.021	0.002
KEGG_SELENOCOMPOUND_METABOLISM	0.085	0.05	0.742	0.195	1	0.037
KEGG_SHIGELLOSIS	0.013	0.787	0.004	0.163	0.019	0.022
KEGG_SMALL_CELL_LUNG_CANCER	0.001	0.004	0.001	0.007	0.03	0.003
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0.058	0.607	0.135	0.102	0.056	0.056
KEGG_SPHINGOLIPID_METABOLISM	0.153	0.55	0.007	0.064	0.114	1
KEGG_SPLICEOSOME	0.001	0.492	0.001	0.202	0.033	0.476
KEGG_STAPHYLOCOCCUS_AUREUS_INFECTION	0.011	0.102	0.101	0.183	0.114	0.97
KEGG_STARCH_AND_SUCROSE_METABOLISM	0.134	0.164	0.495	0.227	0.131	0.415
KEGG_STEROID_BIOSYNTHESIS	0.005	0.252	0.036	0.397	0.996	0.731
KEGG_STEROID_HORMONE_BIOSYNTHESIS	0.016	0.9	0.803	0.002	0.776	1
KEGG_SULFUR_METABOLISM	0.858	0.965	0.862	0.995	1	0.977
KEGG_SULFUR_RELAY_SYSTEM	0.941	0.999	0.856	0.052	0.058	0.003
KEGG_SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES	0.686	0.871	0.022	0.098	0.991	0.988
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.007	0.097	0.001	0.115	0.03	0.004
KEGG_TASTE_TRANSDUCTION	0.027	0.903	0.015	0.198	0.466	0.009
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.56	0.674	0.905	0.115	0.963	1
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	0.231	0.098	0.395	0.293	0.997	0.222
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.001	0.022	0.001	0.375	0.041	0.164
KEGG_THIAMINE_METABOLISM	0.534	0.778	0.944	0.983	0.439	0.929
KEGG_THYROID_CANCER	0.073	0.128	0.014	0.034	0.113	0.043
KEGG_TIGHT_JUNCTION	0.006	0.184	0.003	0.14	0.065	0.004
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.016	0.403	0.006	0.335	0.1	0.085
KEGG_TOXOPLASMOSIS	0.007	0.212	0.002	0.081	0.056	0.013
KEGG_TRYPTOPHAN_METABOLISM	0.014	0.166	0.008	0.004	0.003	0.524
KEGG_TUBERCULOSIS	0.003	0.189	0.002	0.491	0.222	0.001
KEGG_TYPE_II_DIABETES_MELLITUS	0.012	0.066	0.032	0.158	0.111	0.004
KEGG_TYPE_I_DIABETES_MELLITUS	0.718	0.53	0.113	0.09	0.797	0.001
KEGG_TYROSINE_METABOLISM	0.02	0.129	0.102	0.001	0.161	0.982
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.015	0.236	0.005	0.08	0.013	0.049
KEGG_UBIQUINONE_AND_OTHER_TERPENOID_QUINONE_BIOSYNTHESIS	0.723	0.871	0.974	0.875	0.988	0.986
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.001	0.036	0.002	0.489	0.027	0.34
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0.976	0.905	0.777	0.942	0.023	0.276
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.074	0.5	0.001	0.366	0.093	0.521
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.01	0.184	0.002	0.712	0.021	0.004
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.1	0.193	0.071	0.279	0.066	0.039
KEGG_VEGF_SIGNALING_PATHWAY	0.005	0.002	0.011	0.025	0.061	0.074
KEGG_VIBRIO_CHOLERAE_INFECTION	0.001	0.042	0.011	0.002	0.479	0.36
KEGG_VIRAL_MYOCARDITIS	0.034	0.309	0.023	0.168	0.075	0.007
KEGG_VITAMIN_B6_METABOLISM	0.81	0.688	0.031	0.04	1	1
KEGG_VITAMIN_DIGESTION_AND_ABSORPTION	0.894	0.49	0.891	0.764	0.286	1
KEGG_WNT_SIGNALING_PATHWAY	0.003	0.344	0.001	0.255	0.044	0.093
REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.029	0.039	0.163	0.146	0.036	0.148
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.974	0.942	0.539	0.24	0.643	0.054
REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE	0.005	0.089	0.002	0.065	0.681	1
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.05	0.189	0.041	0.18	0.77	0.012
REACTOME_ACTIVATED_TLR4_SIGNALLING	0.068	0.041	0.44	0.041	0.245	0.154
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.006	0.274	0.05	0.625	0.038	0.861
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.001	0.322	0.002	0.16	0.133	1
REACTOME_ACTIVATION_OF_CHAPERONES_BY_IRE1_ALPHA	0.032	0.639	0.011	0.491	0.965	0.986
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	0.015	0.101	0.092	0.104	0.035	0.931
REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS	0.002	0.014	0.022	0.014	0.074	0.002
REACTOME_ACTIVATION_OF_RAC	0.002	0.987	0.478	0.641	0.089	0.849
REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS	0.078	0.24	0.092	0.253	0.065	0.754
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	0.033	0.302	0.69	0.138	0.03	0.883
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	0.822	0.347	0.403	0.043	1	0.677
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.956	0.519	0.256	0.471	0.228	0.2
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1	0.054	0.274	0.029	0.133	0.032	0.02
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12	0.002	0.697	0.016	0.342	0.028	0.205
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL	0.024	0.091	0.525	0.046	0.062	0.999
REACTOME_AMINE_COMPOUND_SLC_TRANSPORTERS	0.484	0.457	0.146	0.334	0.967	0.896
REACTOME_AMINE_DERIVED_HORMONES	0.821	0.26	0.785	0.775	0.887	1
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	0.097	0.638	0.185	0.453	0.161	0.445
REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS	0.005	0.028	0.027	0.188	0.015	0.916
REACTOME_AMINO_ACID_SYNTHESIS_AND_INTERCONVERSION	0.003	0.256	0.574	0.342	0.081	0.428
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	0.028	0.052	0.05	0.276	0.003	0.991
REACTOME_APCDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	0.001	0.451	0.036	0.057	0.034	0.886
REACTOME_APOPTOSIS	0.001	0.003	0.001	0.006	0.023	0.054
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	0.887	0.991	0.981	0.96	0.11	0.946
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	0.006	0.183	0.04	0.067	0.475	0.007
REACTOME_APOPTOTIC_EXECUTION_PHASE	0.001	0.021	0.004	0.166	0.064	0.128
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PREREPLICATIVE_COMPLEX	0.009	0.148	0.026	0.092	0.697	0.989
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	0.069	0.62	0.016	0.453	0.055	0.049
REACTOME_AUTODEGRADATION_OF_CDH1_BY_CDH1_APC	0.009	0.904	0.024	0.219	0.026	0.055
REACTOME_AXON_GUIDANCE	0.003	0.122	0.001	0.309	0.007	0.035
REACTOME_A_THIRD_PROTEOLYTIC_CLEAVAGE_RELEASES_NICD	0.448	0.961	0.505	0.227	0.065	1
REACTOME_BASE_EXCISION_REPAIR	0.532	0.498	0.717	0.323	0.053	0.371
REACTOME_BASE_FREE_SUGAR_PHOSPHATE_REMOVAL_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	0.692	0.66	0.735	0.703	0.317	0.092
REACTOME_BASIGIN_INTERACTIONS	0.01	0.686	0.024	0.313	0.245	1
REACTOME_BETACATENIN_PHOSPHORYLATION_CASCADE	0.066	0.812	0.084	0.511	0.046	0.023
REACTOME_BILE_SALT_AND_ORGANIC_ANION_SLC_TRANSPORTERS	0.862	0.826	0.086	0.016	0.997	0.007
REACTOME_BIOLOGICAL_OXIDATIONS	0.23	0.311	0.118	0.302	0.244	0.007
REACTOME_BOTULINUM_NEUROTOXICITY	0.704	0.826	0.766	0.916	0.462	0.071
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	0.221	0.488	0.326	0.087	0.138	0.813
REACTOME_CALCITONIN_LIKE_LIGAND_RECEPTORS	0.286	0.343	0.097	0.779	0.991	0.405
REACTOME_CAM_PATHWAY	0.749	0.657	0.3	0.015	0.38	1
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS	0.791	0.045	0.976	0.844	0.066	0.86
REACTOME_CD28_CO_STIMULATION	0.04	0.702	0.077	0.516	0.035	0.796
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING	0.153	0.139	0.674	0.159	0.99	0.951
REACTOME_CD28_DEPENDENT_VAV1_PATHWAY	0.45	0.321	0.605	0.337	0.178	1
REACTOME_CDC20_PHOSPHO_APC_MEDIATED_DEGRADATION_OF_CYCLIN_A	0.002	0.577	0.006	0.321	0.044	0.016
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	0.089	0.063	0.611	0.218	0.932	0.969
REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX	0.065	0.487	0.086	0.373	0.071	0.057
REACTOME_CELLEXTRACELLULAR_MATRIX_INTERACTIONS	0.037	0.033	0.052	0.129	0.96	1
REACTOME_CELL_CELL_ADHESION_SYSTEMS	0.145	0.068	0.526	0.169	0.277	0.128
REACTOME_CELL_CYCLE_CHECKPOINTS	0.001	0.428	0.003	0.316	0.013	0.134
REACTOME_CELL_CYCLE_MITOTIC	0.001	0.677	0.001	0.548	0.009	0.113
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	0.056	0.016	0.01	0.008	0.019	0.006
REACTOME_CELL_JUNCTION_ORGANIZATION	0.029	0.309	0.013	0.214	0.3	0.17
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.003	0.002	0.001	0.008	0.026	0.249
REACTOME_CENTROSOME_MATURATION	0.001	0.056	0.001	0.445	0.021	0.023
REACTOME_CHAPERONIN_MEDIATED_PROTEIN_FOLDING	0.001	0.849	0.029	0.642	0.061	0.024
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	0.012	0.015	0.161	0.051	0.006	0.843
REACTOME_CHOLESTEROL_BIOSYNTHESIS	0.013	0.013	0.84	0.012	0.902	0.994
REACTOME_CHYLOMICRON_MEDIATED_LIPID_TRANSPORT	0.97	0.891	0.65	0.072	0.867	1
REACTOME_CITRIC_ACID_CYCLE	0.694	0.445	0.277	0.143	1	0.987
REACTOME_CLASSICAL_ANTIBODY_MEDIATED_COMPLEMENT_ACTIVATION	0.888	0.599	0.212	0.855	0.022	0.678
REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS	0.009	0.108	0.016	0.011	0.097	0.193
REACTOME_CLASS_B2_SECRETIN_FAMILY_RECEPTORS	0.004	0.211	0.001	0.192	0.221	0.147
REACTOME_CLASS_C3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	0.137	0.606	0.393	0.58	1	0.99
REACTOME_CLATHRIN_DERIVED_VESICLE_BUDDING	0.022	0.266	0.005	0.319	0.024	0.105
REACTOME_COLLAGEN_MEDIATED_ACTIVATION_CASCADE	0.07	0.012	0.015	0.047	0.872	0.896
REACTOME_COMMON_PATHWAY	0.072	0.697	0.042	0.456	0.991	0.999
REACTOME_COMPLEMENT_CASCADE	0.811	0.525	0.842	0.531	0.039	1
REACTOME_CONVERSION_FROM_APC_CDC20_TO_APC_CDH1_IN_LATE_ANAPHASE	0.013	0.73	0.117	0.074	0.073	0.339
REACTOME_COPI_MEDIATED_TRANSPORT	0.027	0.602	0.513	0.929	0.026	0.016
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	0.002	0.997	0.004	0.765	0.038	0.003
REACTOME_CREB_PHOPHORYLATION_THROUGH_THE_ACTIVATION_OF_RAS	0.001	0.037	0.015	0.033	0.02	0.004
REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII	0.043	0.874	0.415	0.041	0.727	0.024
REACTOME_CRMPS_IN_SEMA3A_SIGNALING	0.873	0.762	0.741	0.579	0.993	0.998
REACTOME_CTLA4_INHIBITORY_SIGNALING	0.049	0.324	0.222	0.565	0.198	0.469
REACTOME_CYCLIN_A1_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	0.212	0.118	0.304	0.059	0.982	0.382
REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_	0.004	0.1	0.04	0.199	0.023	0.008
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	0.373	0.625	0.699	0.805	0.575	0.085
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES	0.892	0.963	0.963	0.591	0.929	0.998
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	0.556	0.912	0.002	0.272	0.025	0.103
REACTOME_DARPP32_EVENTS	0.051	0.549	0.538	0.337	0.058	1
REACTOME_DEADENYLATION_OF_MRNA	0.062	0.318	0.012	0.404	0.02	1
REACTOME_DEATH_RECEPTOR_SIGNALLING	0.025	0.253	0.931	0.014	0.198	1
REACTOME_DEPOLARIZATION_OF_THE_PRESYNAPTIC_TERMINAL_TRIGGERS_THE_OPENING_OF_CALCIUM_CHANNELS	0.065	0.475	0.001	0.425	1	1
REACTOME_DIABETES_PATHWAYS	0.005	0.345	0.001	0.028	0.036	0.025
REACTOME_DNA_REPAIR	0.002	0.144	0.002	0.027	0.012	0.373
REACTOME_DNA_REPLICATION_PRE_INITIATION	0.001	0.288	0.001	0.241	0.027	0.182
REACTOME_DNA_STRAND_ELONGATION	0.117	0.147	0.015	0.167	0.021	0.62
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.83	0.969	0.966	0.928	0.972	0.034
REACTOME_DOUBLE_STRAND_BREAK_REPAIR	0.07	0.022	0.004	0.076	0.271	1
REACTOME_DOWNSTREAM_EVENTS_IN_GPCR_SIGNALING	0.001	0.397	0.004	0.007	0.031	0.016
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR	0.143	0.003	0.1	0.16	0.051	0.041
REACTOME_DOWNSTREAM_TCR_SIGNALING	0.013	0.843	0.002	0.38	0.015	0.098
REACTOME_DOWN_STREAM_SIGNAL_TRANSDUCTION	0.014	0.419	0.066	0.503	0.046	0.046
REACTOME_DUAL_INCISION_REACTION_IN_GG_NER	0.624	0.973	0.096	0.154	0.016	0.081
REACTOME_DUAL_INCISION_REACTION_IN_TC_NER	0.049	0.117	0.115	0.127	0.03	0.44
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	0.306	0.064	0.747	0.075	0.212	0.995
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	0.01	0.139	0.12	0.271	0.172	0.023
