Pathway	Utah Expression 24vs35 AUCs	Ontario Expression 24vs35 AUCs	Utah Expression 0124vs35 AUCs	Ontario Expression 0124vs35 AUCs	Lim AUCs	Bellacosa Breast AUCs
KEGG_BIOTIN_METABOLISM	0.5367133	0.4866071	0.4582202	0.4111111	0.1466667	0.1805556
KEGG_BLADDER_CANCER	0.6264569	0.5993304	0.627451	0.6404762	0.8	0.8055556
KEGG_BUTANOATE_METABOLISM	0.6334499	0.4799107	0.6844646	0.5333333	0.5333333	0.5277778
KEGG_BUTIROSIN_AND_NEOMYCIN_BIOSYNTHESIS	0.6902681	0.5569196	0.5384615	0.6412698	0.2	0
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.6410256	0.5401786	0.7028658	0.5928571	0.8133333	0.7361111
KEGG_CAFFEINE_METABOLISM	0.5297203	0.6026786	0.371644	0.365873	0.2266667	0.06944444
KEGG_CALCIUM_SIGNALING_PATHWAY	0.6215035	0.6171875	0.5342383	0.6706349	0.7866667	0.8194444
KEGG_CARBOHYDRATE_DIGESTION_AND_ABSORPTION	0.5909091	0.4771205	0.6241327	0.5373016	0.6266667	0.1388889
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.5944056	0.5	0.680543	0.5253968	0.72	0.7638889
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.6299534	0.7929688	0.6325792	0.7015873	0.7466667	0.8888889
KEGG_CELL_CYCLE	0.8155594	0.5206473	0.7288084	0.5150794	0.7866667	0.625
KEGG_CHAGAS_DISEASE_AMERICAN_TRYPANOSOMIASIS	0.6660839	0.6417411	0.6609351	0.547619	0.68	0.8055556
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.6491841	0.5323661	0.6775264	0.6349206	0.88	0.9027778
KEGG_CHOLINERGIC_SYNAPSE	0.6177156	0.5970982	0.7472097	0.5849206	0.7466667	0.8194444
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.7325175	0.671875	0.6950226	0.547619	0.8	0.8194444
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.6532634	0.3989955	0.6105581	0.4619048	0.5066667	0.7638889
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.5824592	0.4810268	0.6392157	0.6698413	0.6533333	0.6388889
KEGG_COLLECTING_DUCT_ACID_SECRETION	0.6048951	0.546875	0.6365008	0.6079365	0	0.4722222
KEGG_COLORECTAL_CANCER	0.6095571	0.6104911	0.7067873	0.4587302	0.8133333	0.75
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.7400932	0.5234375	0.6618401	0.568254	0.76	0.2916667
KEGG_CYANOAMINO_ACID_METABOLISM	0.527972	0.4709821	0.5135747	0.6174603	0.01333333	0.02777778
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.5821678	0.5446429	0.5170437	0.6928571	0.68	0.6388889
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.6369464	0.7042411	0.6900452	0.6587302	0.6533333	0.8333333
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	0.6631702	0.5401786	0.681448	0.5285714	0.7733333	0.6944444
KEGG_DILATED_CARDIOMYOPATHY	0.6625874	0.5708705	0.6410256	0.6055556	0.7066667	0.7083333
KEGG_DNA_REPLICATION	0.6433566	0.4720982	0.7354449	0.4420635	0.8	0.3472222
KEGG_DORSO_VENTRAL_AXIS_FORMATION	0.5897436	0.6294643	0.5966817	0.618254	0.7866667	0.3333333
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.5477855	0.5658482	0.5324284	0.5301587	0.7466667	0.6527778
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	0.5518648	0.5719866	0.5647059	0.5714286	0.3333333	0.7222222
KEGG_D_ARGININE_AND_D_ORNITHINE_METABOLISM	0.4752331	0.4709821	0.4802413	0.4896825	0.4933333	0.125
KEGG_D_GLUTAMINE_AND_D_GLUTAMATE_METABOLISM	0.6824009	0.5189732	0.4971342	0.5769841	0.84	0.8055556
KEGG_ECM_RECEPTOR_INTERACTION	0.7791375	0.6194196	0.7315234	0.6134921	0.7866667	0.8611111
KEGG_ENDOCRINE_AND_OTHER_FACTOR_REGULATED_CALCIUM_REABSORPTION	0.5798368	0.4754464	0.6067873	0.5634921	0.76	0.6666667
KEGG_ENDOCYTOSIS	0.7004662	0.6729911	0.6995475	0.6071429	0.8	0.7361111
KEGG_ENDOMETRIAL_CANCER	0.6590909	0.6227679	0.6705882	0.6472222	0.84	0.5555556
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0.6736597	0.5982143	0.6321267	0.5595238	0.8	0.6388889
KEGG_ERBB_SIGNALING_PATHWAY	0.724359	0.6651786	0.6932127	0.6384921	0.7466667	0.7777778
KEGG_ETHER_LIPID_METABOLISM	0.4702797	0.6417411	0.4986425	0.5539683	0.7733333	0.9166667
KEGG_FATTY_ACID_BIOSYNTHESIS	0.4370629	0.2444196	0.5125189	0.6809524	0.05333333	0.01388889
KEGG_FATTY_ACID_ELONGATION_IN_MITOCHONDRIA	0.5431235	0.5993304	0.6811463	0.6253968	0.9466667	0.2083333
KEGG_FATTY_ACID_METABOLISM	0.5725524	0.6367188	0.6129713	0.6722222	0.4533333	0.6944444
KEGG_FAT_DIGESTION_AND_ABSORPTION	0.4213287	0.6640625	0.4717949	0.5849206	0.5866667	0.9166667
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.6328671	0.7020089	0.6570136	0.6666667	0.68	0.8194444
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.6526807	0.4888393	0.6742081	0.6539683	0.8	0.8055556
KEGG_FOCAL_ADHESION	0.743007	0.7131696	0.7211161	0.6071429	0.84	0.5972222
KEGG_FOLATE_BIOSYNTHESIS	0.4178322	0.4575893	0.438914	0.497619	0.6266667	0.05555556
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.6789044	0.6473214	0.6636501	0.6690476	0.6933333	0.4166667
KEGG_GALACTOSE_METABOLISM	0.761655	0.6205357	0.6618401	0.6246032	0.5333333	0.125
KEGG_GAP_JUNCTION	0.5719697	0.5217634	0.5758673	0.5412698	0.7733333	0.6388889
KEGG_GASTRIC_ACID_SECRETION	0.5850816	0.4754464	0.574359	0.6214286	0.7066667	0.7083333
KEGG_GLIOMA	0.6182984	0.7075893	0.7031674	0.6706349	0.84	0.6388889
KEGG_GLUTAMATERGIC_SYNAPSE	0.6424825	0.5691964	0.5960784	0.5531746	0.7866667	0.8611111
KEGG_GLUTATHIONE_METABOLISM	0.5818765	0.6026786	0.6328808	0.5984127	0.6	0.6666667
KEGG_GLYCEROLIPID_METABOLISM	0.6188811	0.7594866	0.6500754	0.6714286	0.64	0.7916667
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.6247086	0.6919643	0.600905	0.6198413	0.6933333	0.8611111
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.6340326	0.5055804	0.5484163	0.6031746	0.3866667	0.4861111
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.6276224	0.5446429	0.6304676	0.568254	0.68	0.6111111
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.6043124	0.5323661	0.6193062	0.6174603	0.6	0.06944444
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	0.5390443	0.6445312	0.4591252	0.4142857	0.5733333	0.1388889
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	0.4769814	0.4436384	0.3812971	0.3396825	0	0.25
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	0.5961538	0.499442	0.4147813	0.6269841	0.12	0.1111111
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.6270396	0.6049107	0.4576169	0.5936508	0	0.08333333
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	0.4242424	0.3158482	0.3098039	0.3650794	0	0.4166667
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	0.4271562	0.4832589	0.5631976	0.3952381	0	0.375
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOLGPI_ANCHOR_BIOSYNTHESIS	0.5250583	0.3604911	0.4404223	0.6460317	0.6266667	0.1666667
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.4184149	0.3833705	0.4090498	0.7634921	0.2266667	0.7222222
KEGG_GNRH_SIGNALING_PATHWAY	0.6963869	0.5178571	0.6226244	0.5293651	0.8	0.6805556
KEGG_GRAFT_VERSUS_HOST_DISEASE	0.5393357	0.5195312	0.6401207	0.5190476	0.08	0.7916667
KEGG_HEDGEHOG_SIGNALING_PATHWAY	0.5874126	0.4921875	0.6458522	0.5587302	0.8133333	0.6805556
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.6853147	0.5602679	0.6799397	0.5404762	0.7866667	0.5
KEGG_HEPATITIS_C	0.5955711	0.5970982	0.6156863	0.615873	0.76	0.75
KEGG_HISTIDINE_METABOLISM	0.6768648	0.6289062	0.6102564	0.5650794	0.4666667	0.4305556
KEGG_HOMOLOGOUS_RECOMBINATION	0.6905594	0.578125	0.7312217	0.5325397	0.8133333	0.06944444
KEGG_HUNTINGTONS_DISEASE	0.6491841	0.5837054	0.641629	0.5055556	0.8133333	0.8472222
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.6509324	0.6205357	0.641629	0.6039683	0.7733333	0.6666667
KEGG_INFLUENZA_A	0.5658508	0.5954241	0.6355958	0.5793651	0.8133333	0.8194444
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.7045455	0.5513393	0.694721	0.5992063	0.6533333	0.625
KEGG_INSULIN_SIGNALING_PATHWAY	0.7441725	0.5669643	0.7248869	0.6095238	0.7866667	0.8472222
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.6322844	0.6104911	0.6374057	0.4960317	0.6933333	0.9166667
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.6145105	0.5736607	0.6865762	0.6634921	0.6933333	0.625
KEGG_LEISHMANIASIS	0.5308858	0.6261161	0.6129713	0.6103175	0.5333333	0.875
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.6730769	0.5479911	0.5481146	0.7126984	0.76	0.5833333
KEGG_LINOLEIC_ACID_METABOLISM	0.3904429	0.6043527	0.4926094	0.5253968	0.3333333	0
KEGG_LIPOIC_ACID_METABOLISM	0.4982517	0.4486607	0.4542986	0.518254	0.4	0.1527778
KEGG_LONG_TERM_DEPRESSION	0.6861888	0.6082589	0.6853695	0.5619048	0.76	0.7222222
KEGG_LONG_TERM_POTENTIATION	0.6031469	0.6116071	0.6487179	0.465873	0.7333333	0.7777778
KEGG_LYSINE_BIOSYNTHESIS	0.5285548	0.4698661	0.4606335	0.4357143	0.1333333	0.3888889
KEGG_LYSINE_DEGRADATION	0.6864802	0.5825893	0.7481146	0.5996032	0.8266667	0.375
KEGG_LYSOSOME	0.6532634	0.6171875	0.7111614	0.5833333	0.7733333	0.6666667
KEGG_MALARIA	0.6491841	0.5267857	0.6006033	0.5738095	0.7466667	0.8611111
KEGG_MAPK_SIGNALING_PATHWAY	0.715035	0.6618304	0.7306184	0.5448413	0.8	0.7083333
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.5635198	0.4676339	0.5526395	0.5666667	0.4666667	0.2083333
KEGG_MEASLES	0.5932401	0.6261161	0.6295626	0.647619	0.76	0.8333333
KEGG_MELANOGENESIS	0.6940559	0.6584821	0.7170437	0.5325397	0.7466667	0.5555556
KEGG_MELANOMA	0.6657925	0.7466518	0.6482655	0.6357143	0.8933333	0.5694444
KEGG_METABOLIC_PATHWAYS	0.7179487	0.6529018	0.6962293	0.6071429	0.7066667	0.7777778
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.5337995	0.5368304	0.5019608	0.4388889	0.7333333	0.6666667
KEGG_MINERAL_ABSORPTION	0.6215035	0.5379464	0.6856712	0.4904762	0.6666667	0.6111111
KEGG_MISMATCH_REPAIR	0.6451049	0.516183	0.5993967	0.5190476	0.7333333	0.02777778
KEGG_MRNA_SURVEILLANCE_PATHWAY	0.6456876	0.4782366	0.6509804	0.5603175	0.8533333	0.8194444
KEGG_MTOR_SIGNALING_PATHWAY	0.6981352	0.3984375	0.7211161	0.6301587	0.8133333	0.2638889
KEGG_MUCIN_TYPE_O_GLYCAN_BIOSYNTHESIS	0.6404429	0.6155134	0.5809955	0.6261905	0.2533333	0.6388889
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.6637529	0.6529018	0.6790347	0.631746	0.6133333	0.5833333
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.5815851	0.6060268	0.6072398	0.597619	0.6666667	0.8333333
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.6555944	0.6104911	0.7173454	0.5468254	0.8666667	0.6527778
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	0.513986	0.6116071	0.5333333	0.6492063	0.6133333	0
KEGG_NITROGEN_METABOLISM	0.6724942	0.624442	0.4138763	0.6515873	0.7866667	0.05555556
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.6509324	0.4481027	0.6093514	0.5531746	0.7733333	0.4722222
KEGG_NON_HOMOLOGOUS_END_JOINING	0.5734266	0.5396205	0.4431373	0.4547619	0.09333333	0.3611111
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.6765734	0.6735491	0.6636501	0.6039683	0.7866667	0.6666667
KEGG_NOTCH_SIGNALING_PATHWAY	0.6322844	0.5904018	0.6648567	0.5992063	0.7466667	0.5833333
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.6451049	0.5535714	0.66727	0.5928571	0.7733333	0.6388889
KEGG_N_GLYCAN_BIOSYNTHESIS	0.6153846	0.5396205	0.5432881	0.581746	0.7733333	0.75
KEGG_OLFACTORY_TRANSDUCTION	0.5058275	0.4832589	0.592911	0.4460317	0.7733333	0.6944444
KEGG_ONE_CARBON_POOL_BY_FOLATE	0.4134615	0.3616071	0.6117647	0.5666667	0.48	0.3055556
KEGG_OOCYTE_MEIOSIS	0.7307692	0.4966518	0.7010558	0.5698413	0.7866667	0.6944444
KEGG_OSTEOCLAST_DIFFERENTIATION	0.5562354	0.6121652	0.6624434	0.652381	0.76	0.7777778
KEGG_OTHER_GLYCAN_DEGRADATION	0.4079254	0.4720982	0.4084465	0.465873	0.05333333	0.06944444
KEGG_OTHER_TYPES_OF_O_GLYCAN_BIOSYNTHESIS	0.6585082	0.4921875	0.4965309	0.5531746	0.6266667	0.9166667
KEGG_OXIDATIVE_PHOSPHORYLATION	0.6375291	0.5200893	0.706184	0.6134921	0.72	0.75
KEGG_P53_SIGNALING_PATHWAY	0.7459207	0.5837054	0.6820513	0.6174603	0.8	0.6527778
KEGG_PANCREATIC_CANCER	0.6655012	0.671875	0.6488688	0.5690476	0.7733333	0.5694444
KEGG_PANCREATIC_SECRETION	0.6217949	0.6065848	0.5942685	0.6412698	0.6933333	0.9305556
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	0.5075758	0.5714286	0.4015083	0.6690476	0	0.04166667
KEGG_PARKINSONS_DISEASE	0.6124709	0.5591518	0.6319759	0.534127	0.8133333	0.8194444
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	0.6293706	0.3984375	0.6666667	0.3690476	0.8	0.75
KEGG_PATHWAYS_IN_CANCER	0.752331	0.6997768	0.7666667	0.6222222	0.8	0.6805556
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	0.4731935	0.5200893	0.5800905	0.5492063	0.4	0.9583333
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.6401515	0.6261161	0.6917044	0.5944444	0.2933333	0.3055556
KEGG_PEROXISOME	0.6375291	0.6852679	0.6558069	0.6777778	0.52	0.75
KEGG_PHAGOSOME	0.6381119	0.4988839	0.6102564	0.5571429	0.76	0.8472222
KEGG_PHENYLALANINE_METABOLISM	0.465035	0.3180804	0.4901961	0.4325397	0	0.75
KEGG_PHENYLALANINE_TYROSINE_AND_TRYPTOPHAN_BIOSYNTHESIS	0.488345	0.4815848	0.4536953	0.5087302	0.12	0.8888889
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.6649184	0.6082589	0.678733	0.7079365	0.6933333	0.75
KEGG_PHOTOTRANSDUCTION	0.6121795	0.4458705	0.5435897	0.5626984	0.01333333	0.4305556
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	0.4020979	0.3604911	0.4944193	0.4365079	0.5733333	0.4305556
KEGG_PPAR_SIGNALING_PATHWAY	0.5667249	0.5039062	0.5880845	0.5833333	0.6	0.6527778
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0.4096737	0.374442	0.4512821	0.3444444	0.2533333	0.375
KEGG_PRIMARY_IMMUNODEFICIENCY	0.7068765	0.4609375	0.6425339	0.6134921	0.8	0.4722222
KEGG_PRION_DISEASES	0.5856643	0.6651786	0.5342383	0.6222222	0.8	0
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.7412587	0.6986607	0.7342383	0.6575397	0.8266667	0.5555556
KEGG_PROPANOATE_METABOLISM	0.6130536	0.5904018	0.5155354	0.752381	0.68	0.3472222
KEGG_PROSTATE_CANCER	0.6340326	0.7159598	0.7324284	0.584127	0.8	0.75
KEGG_PROTEASOME	0.5722611	0.5379464	0.5562594	0.4825397	0.6	0.8472222
KEGG_PROTEIN_DIGESTION_AND_ABSORPTION	0.592366	0.5541295	0.5903469	0.5214286	0.8533333	0.6388889
KEGG_PROTEIN_EXPORT	0.5571096	0.6116071	0.627451	0.6865079	0.7733333	0.2083333
KEGG_PROTEIN_PROCESSING_IN_ENDOPLASMIC_RETICULUM	0.6841492	0.6506696	0.7019608	0.584127	0.8	0.7916667
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.6678322	0.5128348	0.4914027	0.5404762	0.7466667	0.02777778
KEGG_PURINE_METABOLISM	0.7004662	0.6199777	0.7067873	0.6452381	0.7866667	0.75
KEGG_PYRIMIDINE_METABOLISM	0.6835664	0.5368304	0.719457	0.5916667	0.8	0.7083333
KEGG_PYRUVATE_METABOLISM	0.5775058	0.6339286	0.573454	0.6174603	0.44	0.4166667
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.7068765	0.6607143	0.6826546	0.4404762	0.8	0.7777778
KEGG_REGULATION_OF_AUTOPHAGY	0.5839161	0.5234375	0.5975867	0.5436508	0.8133333	0.1944444
KEGG_RENAL_CELL_CARCINOMA	0.6695804	0.5273438	0.6319759	0.5666667	0.84	0.6805556
KEGG_RENIN_ANGIOTENSIN_SYSTEM	0.525641	0.5558036	0.4455505	0.3634921	0.8266667	0.1111111
KEGG_RETINOL_METABOLISM	0.5037879	0.5563616	0.5206637	0.6253968	0.7066667	0.5694444
KEGG_RHEUMATOID_ARTHRITIS	0.5314685	0.6729911	0.6177979	0.6349206	0.7466667	0.8194444
KEGG_RIBOFLAVIN_METABOLISM	0.4854312	0.5424107	0.5505279	0.5142857	0.02666667	0.9583333
KEGG_RIBOSOME	0.7051282	0.3861607	0.7348416	0.5206349	0.7466667	0.2916667
KEGG_RIBOSOME_BIOGENESIS_IN_EUKARYOTES	0.6159674	0.4665179	0.6714932	0.5039683	0.8533333	0.75
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.7365967	0.5479911	0.5303167	0.5896825	0.7066667	0.6666667
KEGG_RNA_DEGRADATION	0.6806527	0.5089286	0.6355958	0.4777778	0.8133333	0.7638889
KEGG_RNA_POLYMERASE	0.6596737	0.5636161	0.6871795	0.5563492	0.8	0.8055556
KEGG_RNA_TRANSPORT	0.6625874	0.4475446	0.6859729	0.4944444	0.8666667	0.5694444
KEGG_SALIVARY_SECRETION	0.6806527	0.5122768	0.6208145	0.6174603	0.8	0.9305556
KEGG_SELENOCOMPOUND_METABOLISM	0.5920746	0.6205357	0.4627451	0.5642857	0.02666667	0.7777778
KEGG_SHIGELLOSIS	0.6284965	0.4430804	0.6579186	0.5674603	0.8	0.8055556
KEGG_SMALL_CELL_LUNG_CANCER	0.77331	0.7059152	0.7312217	0.681746	0.7866667	0.8888889
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0.6031469	0.4776786	0.5622926	0.5888889	0.7466667	0.7361111
KEGG_SPHINGOLIPID_METABOLISM	0.5696387	0.4933036	0.6395173	0.6087302	0.6933333	0.05555556
KEGG_SPLICEOSOME	0.7278555	0.5011161	0.7239819	0.5611111	0.7866667	0.5138889
KEGG_STAPHYLOCOCCUS_AUREUS_INFECTION	0.6375291	0.5993304	0.5760181	0.568254	0.6933333	0.2222222
KEGG_STARCH_AND_SUCROSE_METABOLISM	0.5693473	0.578125	0.4986425	0.5507937	0.68	0.5416667
KEGG_STEROID_BIOSYNTHESIS	0.6812354	0.5524554	0.5987934	0.518254	0.1466667	0.4166667
KEGG_STEROID_HORMONE_BIOSYNTHESIS	0.6451049	0.4051339	0.4524887	0.6722222	0.3866667	0.02777778
KEGG_SULFUR_METABOLISM	0.4280303	0.3571429	0.441629	0.3277778	0	0.2083333
KEGG_SULFUR_RELAY_SYSTEM	0.3948135	0.3041295	0.4410256	0.6071429	0.7466667	0.9444444
KEGG_SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES	0.4699883	0.4129464	0.6090498	0.584127	0.1466667	0.1805556
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.6532634	0.5970982	0.6733032	0.5896825	0.7866667	0.8472222
KEGG_TASTE_TRANSDUCTION	0.6223776	0.406808	0.6190045	0.5571429	0.52	0.8611111
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.4871795	0.4654018	0.4202112	0.5904762	0.24	0.02777778
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	0.5480769	0.6060268	0.5152338	0.5428571	0.1066667	0.625
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.7319347	0.656808	0.7511312	0.5253968	0.7733333	0.6527778
KEGG_THIAMINE_METABOLISM	0.4927156	0.4464286	0.4045249	0.3587302	0.52	0.3055556
KEGG_THYROID_CANCER	0.5926573	0.5892857	0.6328808	0.6238095	0.6933333	0.7638889
KEGG_TIGHT_JUNCTION	0.6713287	0.5680804	0.6494721	0.5746032	0.7333333	0.8888889
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.6311189	0.5239955	0.6425339	0.5309524	0.6933333	0.7083333
KEGG_TOXOPLASMOSIS	0.6649184	0.5636161	0.6909502	0.597619	0.76	0.8472222
KEGG_TRYPTOPHAN_METABOLISM	0.6439394	0.578125	0.6328808	0.6928571	0.8933333	0.5
KEGG_TUBERCULOSIS	0.6736597	0.5669643	0.6739065	0.5055556	0.6266667	0.9583333
KEGG_TYPE_II_DIABETES_MELLITUS	0.6386946	0.6127232	0.6105581	0.5730159	0.6933333	0.875
KEGG_TYPE_I_DIABETES_MELLITUS	0.4632867	0.4899554	0.5693816	0.597619	0.3733333	0.9305556
KEGG_TYROSINE_METABOLISM	0.6322844	0.59375	0.571644	0.7230159	0.6666667	0.2083333
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.6430653	0.5558036	0.6555053	0.5992063	0.8533333	0.7638889
KEGG_UBIQUINONE_AND_OTHER_TERPENOID_QUINONE_BIOSYNTHESIS	0.4609557	0.4151786	0.3912519	0.4214286	0.1866667	0.1944444
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.7389277	0.6328125	0.6687783	0.5	0.8	0.5694444
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0.3776224	0.3989955	0.4561086	0.3880952	0.8	0.5972222
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.6013986	0.4972098	0.6951735	0.5238095	0.7066667	0.5
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.6474359	0.5747768	0.66727	0.4666667	0.8133333	0.9166667
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.5810023	0.5669643	0.5825038	0.5412698	0.7333333	0.7638889
KEGG_VEGF_SIGNALING_PATHWAY	0.6579254	0.7271205	0.6331825	0.6444444	0.7333333	0.7222222
KEGG_VIBRIO_CHOLERAE_INFECTION	0.6960956	0.641183	0.6417798	0.7039683	0.5066667	0.5694444
KEGG_VIRAL_MYOCARDITIS	0.6118881	0.547433	0.619457	0.5698413	0.7333333	0.8888889
KEGG_VITAMIN_B6_METABOLISM	0.4452214	0.4570312	0.6075415	0.6309524	0	0.08333333
KEGG_VITAMIN_DIGESTION_AND_ABSORPTION	0.4178322	0.5055804	0.4295626	0.447619	0.6	0.02777778
KEGG_WNT_SIGNALING_PATHWAY	0.6899767	0.5323661	0.6956259	0.5452381	0.76	0.6944444
REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.6142191	0.6372768	0.5595777	0.5761905	0.76	0.6666667
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.3706294	0.3761161	0.4926094	0.5539683	0.44	0.75
REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE	0.67162	0.5993304	0.6561086	0.6055556	0.4266667	0
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.6034382	0.5669643	0.5987934	0.5646825	0.3866667	0.8333333
REACTOME_ACTIVATED_TLR4_SIGNALLING	0.5990676	0.6383929	0.507994	0.6174603	0.6133333	0.6666667
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.6637529	0.5491071	0.5936652	0.4793651	0.7733333	0.3472222
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.743007	0.5412946	0.6904977	0.5730159	0.68	0
REACTOME_ACTIVATION_OF_CHAPERONES_BY_IRE1_ALPHA	0.6194639	0.4754464	0.6325792	0.5047619	0.24	0.1666667
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	0.6433566	0.5948661	0.5797888	0.5873016	0.7866667	0.2638889
REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS	0.6660839	0.6735491	0.612368	0.6539683	0.7333333	0.9722222
REACTOME_ACTIVATION_OF_RAC	0.7016317	0.3470982	0.505279	0.4793651	0.72	0.3611111
REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS	0.5897436	0.5524554	0.5791855	0.5460317	0.7333333	0.4027778
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	0.6206294	0.5435268	0.4678733	0.5809524	0.7866667	0.3333333
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	0.4434732	0.5267857	0.5128205	0.6142857	0.02666667	0.4305556
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.3918998	0.4944196	0.5363499	0.5063492	0.6266667	0.6388889
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1	0.6019814	0.5424107	0.6087481	0.5777778	0.8	0.8194444
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12	0.6917249	0.4587054	0.6313725	0.5309524	0.8	0.625
