	Utah Expression 24vs35 AUCs	Ontario Expression 24vs35 AUCs	Utah Expression 0124vs35 AUCs	Ontario Expression 0124vs35 AUCs	Lim AUCs	Bellacosa Breast AUCs	Utah Expression 24vs35 PermutedAUCs	Ontario Expression 24vs35 PermutedAUCs	Utah Expression 0124vs35 PermutedAUCs	Ontario Expression 0124vs35 PermutedAUCs	Lim PermutedAUCs	Bellacosa Breast PermutedAUCs	NumControlNonMut	NumControlMut	NumCancerNonMut	NumCancerMut	Utah Exome 24vs35	Rank.p.value	Rank.p.value
REACTOME_RNA_POLYMERASE_I_PROMOTER_CLEARANCE	0.7529138	0.6495536	0.7285068	0.6611111	0.8533333	0.6111111	0.001	0.035	0.001	0.006	0.008	0.255	11	5	17	2	0.999999999426931	0.257607660568322	0.0813891760452277
BIOCARTA_CELLCYCLE_PATHWAY	0.7354312	0.6026786	0.6144796	0.5206349	0.8133333	0.8888889	0.001	0.105	0.022	0.404	0.017	0.008	16	0	17	2	0.126223639753789	0.0313102792235212	0.0814907225046788
REACTOME_TOLL_RECEPTOR_CASCADES	0.6844406	0.6026786	0.6745098	0.547619	0.8133333	0.8888889	0.001	0.076	0.002	0.253	0.025	0.005	12	4	13	6	0.392434653256401	0.101919384831699	0.0830948032216882
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.5824592	0.4810268	0.6392157	0.6698413	0.6533333	0.6388889	0.082	0.589	0.007	0.01	0.174	0.189	16	0	13	6	0.0096496330760952	0.395074042507209	0.0833268775838211
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.6407343	0.5725446	0.6310709	0.5551587	0.8133333	0.6805556	0.013	0.175	0.011	0.233	0.02	0.136	14	2	12	7	0.0594865497958512	0.10700589821966	0.0840045869922305
KEGG_CALCIUM_SIGNALING_PATHWAY	0.6215035	0.6171875	0.5342383	0.6706349	0.7866667	0.8194444	0.034	0.073	0.264	0.01	0.035	0.022	7	9	5	14	0.230558690175609	0.171628416614513	0.0848016908992094
REACTOME_RNA_POLYMERASE_I_III_AND_MITOCHONDRIAL_TRANSCRIPTION	0.7074592	0.6450893	0.6971342	0.6936508	0.8133333	0.625	0.001	0.037	0.001	0.002	0.017	0.216	10	6	16	3	0.999999999426931	0.261432315743944	0.0855523547788734
KEGG_WNT_SIGNALING_PATHWAY	0.6899767	0.5323661	0.6956259	0.5452381	0.76	0.6944444	0.003	0.344	0.001	0.255	0.044	0.093	12	4	10	9	0.104119802308224	0.120764324984188	0.0869938223512335
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	0.6357809	0.5479911	0.6066365	0.6448413	0.8133333	0.8611111	0.015	0.265	0.034	0.015	0.026	0.003	6	10	9	10	0.998542629838389	0.620292865683065	0.0892217874430762
KEGG_PURINE_METABOLISM	0.7004662	0.6199777	0.7067873	0.6452381	0.7866667	0.75	0.001	0.06	0.001	0.021	0.026	0.044	2	14	7	12	0.999999999670207	0.31978520779305	0.0896788070558092
KEGG_AMOEBIASIS	0.717366	0.6830357	0.7324284	0.5936508	0.8	0.7083333	0.001	0.009	0.001	0.092	0.031	0.098	11	5	12	7	0.392437465251224	0.0450400473163077	0.089707865635109
REACTOME_TAT_MEDIATED_HIV1_ELONGATION_ARREST_AND_RECOVERY	0.5955711	0.5848214	0.6546003	0.5555556	0.8	0.4722222	0.06	0.132	0.002	0.207	0.023	0.582	16	0	16	3	0.0584014564040313	0.161349812119105	0.0903279494880335
KEGG_METABOLIC_PATHWAYS	0.7179487	0.6529018	0.6962293	0.6071429	0.7066667	0.7777778	0.001	0.02	0.001	0.076	0.095	0.033	0	16	0	19	NA	0.0220464162164917	0.0916340657214387
REACTOME_METABOLISM_OF_PROTEINS	0.7051282	0.4207589	0.692006	0.5142857	0.72	0.7777778	0.003	0.864	0.001	0.419	0.067	0.035	12	4	6	13	0.00619560050721277	0.216852196409237	0.0924807265324824
KEGG_MTOR_SIGNALING_PATHWAY	0.6981352	0.3984375	0.7211161	0.6301587	0.8133333	0.2638889	0.001	0.917	0.001	0.04	0.022	0.944	14	2	15	4	0.325413189762337	0.458646551539958	0.0934813971291669
KEGG_SHIGELLOSIS	0.6284965	0.4430804	0.6579186	0.5674603	0.8	0.8055556	0.013	0.787	0.004	0.163	0.019	0.022	13	3	15	4	0.479819232415823	0.748600785892408	0.0937535289925259
REACTOME_HIV1_TRANSCRIPTION_INITIATION	0.6075175	0.6635045	0.6337858	0.5928571	0.8	0.7361111	0.052	0.02	0.011	0.094	0.021	0.069	14	2	15	4	0.325413189762337	0.212732164369192	0.0956825308359808
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.6789044	0.6473214	0.6636501	0.6690476	0.6933333	0.4166667	0.003	0.021	0.002	0.012	0.112	0.732	15	1	13	6	0.0390891932362208	0.0122127293486138	0.0957349331645811
BIOCARTA_TPO_PATHWAY	0.6707459	0.7633929	0.7309201	0.6269841	0.7866667	0.4583333	0.003	0.002	0.001	0.032	0.035	0.647	13	3	13	6	0.299017182565478	0.0400844660623484	0.098931749722079
REACTOME_FORMATION_OF_A_POOL_OF_FREE_40S_SUBUNITS	0.7185315	0.4185268	0.721267	0.568254	0.7866667	0.2638889	0.001	0.867	0.001	0.153	0.027	0.952	15	1	14	5	0.0878934421477746	0.187720721452781	0.0995164170639436
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	0.6818182	0.3225446	0.659276	0.4539683	0.7733333	0.9166667	0.002	0.997	0.004	0.765	0.038	0.003	16	0	14	5	0.0159255859754158	0.256934353802607	0.0998336597548137
SA_B_CELL_RECEPTOR_COMPLEXES	0.5836247	0.7053571	0.6036199	0.5531746	0.8	0.8055556	0.088	0.005	0.033	0.228	0.025	0.021	16	0	17	2	0.126223639753789	0.0871276198190793	0.100134999143079
ST_ERK1_ERK2_MAPK_PATHWAY	0.7575758	0.5948661	0.640724	0.5595238	0.8	0.7916667	0.001	0.092	0.011	0.207	0.025	0.025	16	0	18	1	0.283260628088936	0.0504380310283231	0.100647261949666
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.6451049	0.5535714	0.66727	0.5928571	0.7733333	0.6388889	0.016	0.241	0.002	0.097	0.038	0.178	14	2	14	5	0.230558918839363	0.249711924312108	0.103405893884305
BIOCARTA_IL2RB_PATHWAY	0.6704545	0.5608259	0.7171946	0.5126984	0.7733333	0.7361111	0.002	0.2	0.001	0.436	0.042	0.061	14	2	12	7	0.0594865497958512	0.0527000903636845	0.104507018826431
BIOCARTA_MCALPAIN_PATHWAY	0.6759907	0.6037946	0.7095023	0.615873	0.8133333	0	0.006	0.1	0.001	0.05	0.022	1	15	1	15	4	0.147932152047134	0.092654358807914	0.10527422622122
REACTOME_TOLL_LIKE_RECEPTOR_3_CASCADE	0.641317	0.5608259	0.6503771	0.4781746	0.8	0.8472222	0.008	0.21	0.005	0.612	0.029	0.013	15	1	14	5	0.0878934421477746	0.105834775343621	0.105371969902749
REACTOME_G1_PHASE	0.6809441	0.6328125	0.6684766	0.5857143	0.7466667	0.8194444	0.003	0.042	0.002	0.126	0.052	0.02	16	0	19	0	NA	0.07214923149043	0.10612537781319
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.7715618	0.6350446	0.7156863	0.7166667	0.6666667	0.6944444	0.001	0.054	0.001	0.001	0.15	0.113	12	4	13	6	0.392434653256401	0.0832785625981221	0.10619235139886
KEGG_THYROID_CANCER	0.5926573	0.5892857	0.6328808	0.6238095	0.6933333	0.7638889	0.073	0.128	0.014	0.034	0.113	0.043	16	0	17	2	0.126223639753789	0.228483512027643	0.106247028763395
BIOCARTA_KERATINOCYTE_PATHWAY	0.701049	0.6227679	0.6844646	0.6412698	0.7866667	0.6805556	0.002	0.055	0.002	0.018	0.037	0.128	13	3	15	4	0.479819232415823	0.148127255854491	0.106287496961317
REACTOME_DNA_REPAIR	0.6987179	0.5848214	0.7266968	0.6369048	0.8533333	0.5555556	0.002	0.144	0.002	0.027	0.012	0.373	10	6	13	6	0.998542629838389	0.339544337868935	0.107251394263578
REACTOME_TCR_SIGNALING	0.6264569	0.453125	0.6476621	0.5087302	0.8133333	0.6944444	0.024	0.751	0.005	0.464	0.021	0.108	16	0	16	3	0.0584014564040313	0.399353881171002	0.108256288790909
BIOCARTA_IL3_PATHWAY	0.5110723	0.6813616	0.6497738	0.5619048	0.8266667	0.7916667	0.456	0.012	0.005	0.199	0.021	0.029	15	1	17	2	0.392356272835336	0.392494190078648	0.109008647528795
REACTOME_GENE_EXPRESSION	0.6777389	0.4938616	0.6832579	0.5626984	0.8133333	0.6527778	0.004	0.534	0.002	0.193	0.018	0.164	5	11	4	15	0.313773871607354	0.405922103684278	0.109073270609967
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.6474359	0.5747768	0.66727	0.4666667	0.8133333	0.9166667	0.01	0.184	0.002	0.712	0.021	0.004	9	7	8	11	0.29901718256548	0.267920133942547	0.110500064187446
BIOCARTA_HER2_PATHWAY	0.5407925	0.6774554	0.5903469	0.6365079	0.7733333	0.9166667	0.273	0.009	0.046	0.035	0.039	0.004	15	1	17	2	0.392356272835336	0.340056422461693	0.112514409566898
KEGG_TYPE_II_DIABETES_MELLITUS	0.6386946	0.6127232	0.6105581	0.5730159	0.6933333	0.875	0.012	0.066	0.032	0.158	0.111	0.004	15	1	11	8	0.00965009825728508	0.0415002149601028	0.113806085348731
KEGG_HEPATITIS_C	0.5955711	0.5970982	0.6156863	0.615873	0.76	0.75	0.061	0.094	0.025	0.048	0.052	0.057	11	5	9	10	0.126223641860467	0.199016819627835	0.113824601221363
KEGG_TOXOPLASMOSIS	0.6649184	0.5636161	0.6909502	0.597619	0.76	0.8472222	0.007	0.212	0.002	0.081	0.056	0.013	10	6	11	8	0.441559824471571	0.377841915981383	0.114813230295781
REACTOME_NUCLEOTIDE_EXCISION_REPAIR	0.6019814	0.6316964	0.6861237	0.6420635	0.7866667	0.6805556	0.052	0.042	0.002	0.02	0.029	0.116	14	2	17	2	0.998542629838389	0.490765672733089	0.116771250928291
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.6369464	0.7042411	0.6900452	0.6587302	0.6533333	0.8333333	0.015	0.006	0.002	0.013	0.179	0.014	2	14	2	17	0.479819232415823	0.174327069898329	0.117141013287664
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.6765734	0.6735491	0.6636501	0.6039683	0.7866667	0.6666667	0.003	0.01	0.003	0.08	0.029	0.139	13	3	14	5	0.326763027852778	0.0620286490921952	0.11767075866957
KEGG_LYSOSOME	0.6532634	0.6171875	0.7111614	0.5833333	0.7733333	0.6666667	0.009	0.05	0.001	0.124	0.034	0.147	10	6	10	9	0.325413190194502	0.160289292638971	0.117695936074771
KEGG_NOTCH_SIGNALING_PATHWAY	0.6322844	0.5904018	0.6648567	0.5992063	0.7466667	0.5833333	0.016	0.114	0.001	0.074	0.066	0.332	12	4	11	8	0.230558918839363	0.169406700541166	0.117784985054738
BIOCARTA_IGF1MTOR_PATHWAY	0.6713287	0.7198661	0.7227753	0.5769841	0.8	0	0.007	0.004	0.001	0.142	0.021	1	16	0	16	3	0.0584014564040313	0.0143949923045656	0.118431186862578
REACTOME_PYRUVATE_METABOLISM_AND_TCA_CYCLE	0.5810023	0.4581473	0.6889894	0.5126984	0.8666667	0.75	0.109	0.709	0.001	0.436	0.008	0.046	13	3	15	4	0.479819232415823	0.870392323111677	0.119195399265203
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.7045455	0.5513393	0.694721	0.5992063	0.6533333	0.625	0.001	0.265	0.001	0.09	0.153	0.221	12	4	10	9	0.104119802308224	0.0520773223352607	0.120024205190795
REACTOME_G1_S_TRANSITION	0.6998834	0.6523438	0.6669683	0.5412698	0.8133333	0.75	0.001	0.025	0.002	0.282	0.018	0.045	11	5	12	7	0.392437465251224	0.0619848291448693	0.120370131369738
KEGG_PRIMARY_IMMUNODEFICIENCY	0.7068765	0.4609375	0.6425339	0.6134921	0.8	0.4722222	0.001	0.701	0.007	0.057	0.024	0.602	16	0	18	1	0.283260628088936	0.270384248503831	0.120389296924182
REACTOME_CELL_CYCLE_MITOTIC	0.8374126	0.4631696	0.7502262	0.4936508	0.8666667	0.6805556	0.001	0.677	0.001	0.548	0.009	0.113	8	8	7	12	0.29901718256548	0.326117101636377	0.12078770358532
REACTOME_IRS_RELATED_EVENTS	0.7307692	0.5680804	0.6944193	0.6047619	0.7866667	0.6805556	0.001	0.199	0.001	0.064	0.037	0.117	12	4	14	5	0.524559699874622	0.224912778732812	0.121172132927589
REACTOME_TRNA_AMINOACYLATION	0.6430653	0.5602679	0.6060332	0.5861111	0.8133333	0.6111111	0.011	0.208	0.038	0.124	0.024	0.24	14	2	12	7	0.0594865497958512	0.114298110978199	0.121923851700261
KEGG_MRNA_SURVEILLANCE_PATHWAY	0.6456876	0.4782366	0.6509804	0.5603175	0.8533333	0.8194444	0.012	0.628	0.002	0.215	0.009	0.014	10	6	14	5	0.99854262983839	0.818281754127025	0.12263090585374
REACTOME_FORMATION_AND_MATURATION_OF_MRNA_TRANSCRIPT	0.7296037	0.3973214	0.6914027	0.4444444	0.8	0.6666667	0.001	0.911	0.001	0.776	0.027	0.14	11	5	8	11	0.0878934421477746	0.208311911950096	0.126108683713322
REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS	0.6946387	0.6495536	0.6624434	0.634127	0.8	0.1111111	0.003	0.032	0.002	0.021	0.023	0.998	15	1	16	3	0.299008846014946	0.0644463120790982	0.126353641754544
REACTOME_S_PHASE	0.7068765	0.578125	0.7254902	0.5234127	0.84	0.7361111	0.001	0.169	0.001	0.365	0.012	0.062	12	4	14	5	0.524559699874622	0.205473150124618	0.128285386981027
KEGG_MAPK_SIGNALING_PATHWAY	0.715035	0.6618304	0.7306184	0.5448413	0.8	0.7083333	0.001	0.024	0.001	0.276	0.029	0.078	5	11	4	15	0.313773871607354	0.0397950803873531	0.128880661607808
KEGG_BASAL_CELL_CARCINOMA	0.6381119	0.6489955	0.6322775	0.6079365	0.7333333	0.4722222	0.023	0.027	0.004	0.059	0.064	0.61	15	1	13	6	0.0390891932362208	0.0419125201135406	0.134568527738246
KEGG_LONG_TERM_DEPRESSION	0.6861888	0.6082589	0.6853695	0.5619048	0.76	0.7222222	0.002	0.09	0.003	0.218	0.049	0.087	14	2	13	6	0.105263382096473	0.0344635303632748	0.134658165363492
REACTOME_MRNA_PROCESSING	0.5842075	0.6529018	0.6310709	0.6198413	0.8	0.8888889	0.097	0.016	0.011	0.042	0.025	0.008	15	1	19	0	0.999999002165685	0.593355024287754	0.135626552979477
BIOCARTA_P38MAPK_PATHWAY	0.6550117	0.5613839	0.7037707	0.5460317	0.7733333	0.9027778	0.011	0.224	0.001	0.261	0.046	0.004	10	6	11	8	0.441559824471571	0.424690221756301	0.135817815357364
SA_G2_AND_M_PHASES	0.6847319	0.6741071	0.6657617	0.615873	0.9866667	0.04166667	0.003	0.01	0.003	0.048	0.001	1	16	0	18	1	0.283260628088936	0.0328700225839713	0.140601420671157
KEGG_AXON_GUIDANCE	0.6159674	0.6629464	0.6135747	0.6452381	0.8933333	0.4305556	0.032	0.032	0.018	0.021	0.004	0.704	7	9	7	12	0.392434653256403	0.26031442442471	0.140752118262297
REACTOME_INORGANIC_CATION_ANION_SLC_TRANSPORTERS	0.5673077	0.6618304	0.6010558	0.6373016	0.88	0.7083333	0.165	0.016	0.036	0.019	0.01	0.105	9	7	12	7	0.998542629838389	0.537793601413252	0.143201151636159
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION	0.6474359	0.5267857	0.6636501	0.5936508	0.8	0.75	0.01	0.359	0.001	0.078	0.031	0.051	14	2	18	1	0.998542631568869	0.718301633696689	0.143422852127835
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	0.6882284	0.5279018	0.6829563	0.5301587	0.6266667	0.8333333	0.004	0.357	0.002	0.287	0.206	0.009	13	3	11	8	0.0901649534073515	0.135683962185643	0.143811572032198
KEGG_FATTY_ACID_ELONGATION_IN_MITOCHONDRIA	0.5431235	0.5993304	0.6811463	0.6253968	0.9466667	0.2083333	0.248	0.08	0.001	0.033	0.002	0.98	13	3	16	3	0.998542629838389	0.705824982859091	0.144642961578483
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	0.6829837	0.5736607	0.6935143	0.568254	0.8133333	0.625	0.003	0.178	0.001	0.154	0.02	0.217	8	8	10	9	0.998542629836967	0.342794563802907	0.148375796562922
BIOCARTA_SPPA_PATHWAY	0.6780303	0.6428571	0.6865762	0.5888889	0.7733333	0.4583333	0.003	0.025	0.002	0.107	0.042	0.624	16	0	17	2	0.126223639753789	0.0237369477166448	0.150494537595413
REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR	0.6293706	0.5345982	0.6087481	0.6277778	0.8	0.6805556	0.032	0.305	0.023	0.039	0.031	0.121	16	0	19	0	NA	0.543947868948694	0.151445774671471
BIOCARTA_ALK_PATHWAY	0.6290793	0.5904018	0.624736	0.6246032	0.72	0.8611111	0.019	0.122	0.011	0.039	0.089	0.008	11	5	12	7	0.392437465251224	0.358542508259842	0.151552316769161
KEGG_PANCREATIC_CANCER	0.6655012	0.671875	0.6488688	0.5690476	0.7733333	0.5694444	0.006	0.012	0.006	0.152	0.04	0.346	13	3	10	9	0.0524138015180882	0.0157370763621805	0.151883577978717
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	0.6608392	0.5368304	0.6693816	0.5626984	0.8	0.5277778	0.006	0.334	0.002	0.169	0.022	0.457	15	1	16	3	0.299008846014946	0.308452032216007	0.152720078064212
BIOCARTA_TCR_PATHWAY	0.7465035	0.5558036	0.6383107	0.5952381	0.8	0.6805556	0.001	0.268	0.009	0.092	0.023	0.12	14	2	16	3	0.441554681299689	0.227502311515213	0.155199786776919
ST_ADRENERGIC	0.4041375	0.4927455	0.4458522	0.5634921	0.8	0.8194444	0.939	0.544	0.846	0.173	0.027	0.019	16	0	15	4	0.0348849651021161	0.66979727778704	0.155898763034874
BIOCARTA_NKT_PATHWAY	0.5562354	0.6104911	0.6597285	0.6015873	0.5066667	0.7222222	0.206	0.065	0.003	0.083	0.475	0.081	15	1	14	5	0.0878934421477746	0.192967303384497	0.156347925157856
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.641317	0.5859375	0.6612368	0.5761905	0.5333333	0.8333333	0.015	0.12	0.001	0.131	0.427	0.01	12	4	12	7	0.299017324688537	0.256802134154586	0.158094505350543
KEGG_APOPTOSIS	0.6206294	0.5691964	0.6482655	0.5412698	0.8266667	0.5277778	0.025	0.19	0.003	0.283	0.021	0.448	11	5	9	10	0.126223641860467	0.210592889202443	0.158772371164592
KEGG_RENAL_CELL_CARCINOMA	0.6695804	0.5273438	0.6319759	0.5666667	0.84	0.6805556	0.004	0.357	0.011	0.165	0.014	0.115	12	4	13	6	0.392434653256401	0.392077122433354	0.159153939661752
BIOCARTA_CREB_PATHWAY	0.6544289	0.6116071	0.6365008	0.6396825	0.8	0.08333333	0.01	0.081	0.01	0.019	0.025	1	16	0	17	2	0.126223639753789	0.0826253033479091	0.163132336724003
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	0.7121212	0.6808036	0.678733	0.5722222	0.7466667	0.8333333	0.001	0.009	0.001	0.147	0.05	0.011	13	3	16	3	0.998542629838389	0.102054745659548	0.164846708335651
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0.6684149	0.6808036	0.6536953	0.6619048	0.7733333	0.6805556	0.003	0.012	0.006	0.011	0.039	0.116	8	8	10	9	0.998542629836967	0.134009123532241	0.165022701548302
KEGG_PYRIMIDINE_METABOLISM	0.6835664	0.5368304	0.719457	0.5916667	0.8	0.7083333	0.001	0.304	0.001	0.1	0.028	0.079	6	10	10	9	0.998542631568869	0.460475827677798	0.165175621243267
KEGG_RHEUMATOID_ARTHRITIS	0.5314685	0.6729911	0.6177979	0.6349206	0.7466667	0.8194444	0.31	0.009	0.019	0.025	0.057	0.017	13	3	15	4	0.479819232415823	0.428275921820481	0.165674116559413
KEGG_ADHERENS_JUNCTION	0.7109557	0.5747768	0.6772247	0.5809524	0.7466667	0.7361111	0.002	0.16	0.003	0.137	0.05	0.058	13	3	13	6	0.299017182565478	0.14315976660704	0.165707936523705
REACTOME_PLATELET_DEGRANULATION	0.6911422	0.6194196	0.7230769	0.6293651	0.7466667	0.7083333	0.002	0.066	0.001	0.031	0.062	0.096	11	5	14	5	0.998542629838389	0.25035797284398	0.165830711508644
BIOCARTA_CELL2CELL_PATHWAY	0.6270396	0.671875	0.7075415	0.7031746	0.8	0.4027778	0.027	0.011	0.001	0.004	0.02	0.752	14	2	19	0	0.999999999670207	0.49937712486404	0.167564015091889
BIOCARTA_AT1R_PATHWAY	0.6847319	0.7064732	0.7556561	0.6103175	0.8	0.6944444	0.001	0.004	0.001	0.066	0.035	0.122	13	3	16	3	0.998542629838389	0.0935366859926719	0.167587586422458
REACTOME_GRB2_EVENTS_IN_EGFR_SIGNALING	0.6282051	0.6350446	0.6491704	0.6349206	0.7866667	0.4444444	0.023	0.037	0.004	0.022	0.035	0.664	16	0	19	0	NA	0.178133663507681	0.16760475558663
BIOCARTA_PTEN_PATHWAY	0.705711	0.65625	0.614178	0.6507937	0.8	0.125	0.002	0.019	0.027	0.018	0.025	0.998	16	0	17	2	0.126223639753789	0.0168485114245956	0.171339193030835
BIOCARTA_NFAT_PATHWAY	0.6229604	0.5697545	0.6220211	0.6150794	0.7733333	0.5277778	0.029	0.175	0.012	0.054	0.045	0.448	16	0	17	2	0.126223639753789	0.193199038069801	0.173505822314645
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1	0.6019814	0.5424107	0.6087481	0.5777778	0.8	0.8194444	0.054	0.274	0.029	0.133	0.032	0.02	16	0	19	0	NA	0.572467774085022	0.173696001878249
BIOCARTA_NTHI_PATHWAY	0.6963869	0.5948661	0.687632	0.5646825	0.8	0.4583333	0.005	0.107	0.002	0.173	0.028	0.642	14	2	14	5	0.230558918839363	0.105557773252356	0.174317979235758
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	0.6462704	0.6629464	0.5565611	0.6079365	0.8666667	0.3611111	0.012	0.015	0.161	0.051	0.006	0.843	15	1	15	4	0.147932152047134	0.0511716203511734	0.176303746644889
REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION	0.5777972	0.5770089	0.4642534	0.6119048	0.8266667	0.5416667	0.112	0.135	0.758	0.066	0.018	0.41	14	2	12	7	0.0594865497958512	0.215757784372234	0.177858864260345
KEGG_P53_SIGNALING_PATHWAY	0.7459207	0.5837054	0.6820513	0.6174603	0.8	0.6527778	0.001	0.156	0.003	0.053	0.033	0.155	11	5	13	6	0.524563922587007	0.201366465049345	0.178189944875295
BIOCARTA_MONOCYTE_PATHWAY	0.5763403	0.6322545	0.507994	0.6253968	0.7733333	0.7222222	0.125	0.04	0.461	0.031	0.045	0.074	16	0	17	2	0.126223639753789	0.166765442795273	0.17886145936734
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	0.4898019	0.3939732	0.6588235	0.5412698	0.8	0.6944444	0.556	0.912	0.002	0.272	0.025	0.103	15	1	17	2	0.392356272835336	0.937093539441512	0.178884588465339
REACTOME_GLUCOSE_METABOLISM	0.6497669	0.5993304	0.6285068	0.6515873	0.7466667	0.6388889	0.008	0.104	0.012	0.016	0.052	0.191	14	2	15	4	0.325413189762337	0.209629717712975	0.182152660037948
REACTOME_SYNTHESIS_OF_DNA	0.6812354	0.5797991	0.6886878	0.5706349	0.8266667	0.5694444	0.002	0.161	0.001	0.156	0.016	0.341	12	4	15	4	0.998542629838389	0.354598596673866	0.183901092244566
KEGG_VEGF_SIGNALING_PATHWAY	0.6579254	0.7271205	0.6331825	0.6444444	0.7333333	0.7222222	0.005	0.002	0.011	0.025	0.061	0.074	12	4	13	6	0.392434653256401	0.0822964444569461	0.184090619453161
KEGG_HOMOLOGOUS_RECOMBINATION	0.6905594	0.578125	0.7312217	0.5325397	0.8133333	0.06944444	0.001	0.152	0.001	0.336	0.016	1	15	1	13	6	0.0390891932362208	0.0234932626138433	0.184607421934415
BIOCARTA_AGR_PATHWAY	0.75	0.6082589	0.6084465	0.5873016	0.8	0.3888889	0.001	0.081	0.035	0.109	0.025	0.79	15	1	14	5	0.0878934421477746	0.0176832065661906	0.187569629809204
ST_G_ALPHA_I_PATHWAY	0.6617133	0.5703125	0.5484163	0.6119048	0.6266667	0.875	0.005	0.188	0.209	0.046	0.212	0.006	16	0	17	2	0.126223639753789	0.104232258818901	0.187891187571698
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.5903263	0.5680804	0.6374057	0.5888889	0.7733333	0.7361111	0.071	0.202	0.012	0.096	0.039	0.065	12	4	12	7	0.299017324688537	0.470997076545826	0.188482577930965
BIOCARTA_RELA_PATHWAY	0.6168415	0.5145089	0.5972851	0.6333333	0.96	0.1666667	0.025	0.441	0.059	0.034	0.001	0.987	16	0	18	1	0.283260628088936	0.439003264008462	0.19136324369507
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.6322844	0.6104911	0.6374057	0.4960317	0.6933333	0.9166667	0.019	0.08	0.011	0.531	0.11	0.001	16	0	15	4	0.0348849651021161	0.0659055243146058	0.191496124674027
KEGG_D_GLUTAMINE_AND_D_GLUTAMATE_METABOLISM	0.6824009	0.5189732	0.4971342	0.5769841	0.84	0.8055556	0.002	0.401	0.509	0.139	0.014	0.023	16	0	19	0	NA	0.300025396282679	0.193808922655125
KEGG_OXIDATIVE_PHOSPHORYLATION	0.6375291	0.5200893	0.706184	0.6134921	0.72	0.75	0.012	0.37	0.001	0.051	0.077	0.056	11	5	15	4	0.998542629838389	0.673267547748389	0.193890523869536
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.7319347	0.656808	0.7511312	0.5253968	0.7733333	0.6527778	0.001	0.022	0.001	0.375	0.041	0.164	9	7	7	12	0.14826898902543	0.0167192111305106	0.195774776757562
KEGG_ABC_TRANSPORTERS	0.5518648	0.5602679	0.6046757	0.5865079	0.7866667	0.9305556	0.207	0.243	0.031	0.123	0.032	0.001	15	1	18	1	0.998542629836967	0.773592791444676	0.196922428595633
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.6145105	0.5736607	0.6865762	0.6634921	0.6933333	0.625	0.037	0.191	0.001	0.015	0.116	0.228	10	6	12	7	0.998540103068967	0.561551640724671	0.19802761853282
BIOCARTA_CTCF_PATHWAY	0.6290793	0.5407366	0.6238311	0.4484127	0.8	1	0.02	0.312	0.016	0.785	0.029	0.001	12	4	11	8	0.230558918839363	0.314809380763209	0.199066065557118
ST_B_CELL_ANTIGEN_RECEPTOR	0.6751166	0.6551339	0.6087481	0.5547619	0.7866667	0.5277778	0.004	0.021	0.026	0.212	0.028	0.464	16	0	13	6	0.0096496330760952	0.0114297406682015	0.20257519404749
BIOCARTA_EDG1_PATHWAY	0.7039627	0.6785714	0.6742081	0.5730159	0.7733333	0.4861111	0.001	0.011	0.004	0.153	0.034	0.567	15	1	15	4	0.147932152047134	0.01063587397138	0.202886045503751
REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION	0.4452214	0.5948661	0.5438914	0.581746	0.8	0.8055556	0.807	0.122	0.221	0.122	0.034	0.016	16	0	18	1	0.283260628088936	0.562215635572314	0.203357785123848
