	AUC	Accuracy	Baseline error rate	Baseline improvement	Best Num Features	Error rate	Kappa statistic	Mean absolute error	Number instances predicted as dependent variable class BRCA	Number instances predicted as dependent variable class BRCA correctly	Number instances predicted as dependent variable class BRCA incorrectly	Number instances predicted as dependent variable class Control	Number instances predicted as dependent variable class Control correctly	Number instances predicted as dependent variable class Control incorrectly	Number instances with dependent variable class BRCA	Number instances with dependent variable class BRCA predicted correctly	Number instances with dependent variable class BRCA predicted incorrectly	Number instances with dependent variable class Control	Number instances with dependent variable class Control predicted correctly	Number instances with dependent variable class Control predicted incorrectly	Proportion instances predicted as dependent variable class BRCA	Proportion instances predicted as dependent variable class BRCA correctly	Proportion instances predicted as dependent variable class BRCA incorrectly	Proportion instances predicted as dependent variable class Control	Proportion instances predicted as dependent variable class Control correctly	Proportion instances predicted as dependent variable class Control incorrectly	Proportion instances with dependent variable class BRCA	Proportion instances with dependent variable class BRCA predicted correctly	Proportion instances with dependent variable class BRCA predicted incorrectly	Proportion instances with dependent variable class Control	Proportion instances with dependent variable class Control predicted correctly	Proportion instances with dependent variable class Control predicted incorrectly	Relative absolute error	Root mean squared error	Root relative squared error	Total number correct	Total number incorrect	Youden Index
Visvader_KEGG_CELL_ADHESION_MOLECULES_CAMS_weka_svm_weights_r_svm_rbf	0.7066666666666667	0.85	0.25	0.09999999999999998	25	0.15000000000000002	0.5	0.2906291455504432	18.0	15.0	3.0	2.0	2.0	0.0	15.0	15.0	0.0	5.0	2.0	3.0	0.9	0.8333333333333334	0.16666666666666666	0.1	1.0	0.0	0.75	1.0	0.0	0.25	0.4	0.6	75.22166120129118	0.38590161986879423	88.9976596464742	17	3	0.3999999999999999
Visvader_KEGG_CELL_CYCLE_weka_svm_weights_r_svm_rbf	0.8533333333333333	0.9	0.25	0.15000000000000002	25	0.09999999999999998	0.6923076923076923	0.2240703814671967	17.0	15.0	2.0	3.0	3.0	0.0	15.0	15.0	0.0	5.0	3.0	2.0	0.85	0.8823529411764706	0.11764705882352941	0.15	1.0	0.0	0.75	1.0	0.0	0.25	0.6	0.4	57.99468696798033	0.3041304139606334	70.13936629499624	18	2	0.6000000000000001
Visvader_KEGG_CHAGAS_DISEASE_AMERICAN_TRYPANOSOMIASIS_weka_svm_weights_r_svm_rbf	0.7466666666666667	0.8	0.25	0.050000000000000044	25	0.19999999999999996	0.4666666666666668	0.29923861525660667	15.0	13.0	2.0	5.0	3.0	2.0	15.0	13.0	2.0	5.0	3.0	2.0	0.75	0.8666666666666667	0.13333333333333333	0.25	0.6	0.4	0.75	0.8666666666666667	0.13333333333333333	0.25	0.6	0.4	77.44999453700407	0.39513995315079026	91.12822867961619	16	4	0.4666666666666668
Visvader_KEGG_CHEMOKINE_SIGNALING_PATHWAY_weka_svm_weights_r_svm_rbf	0.8666666666666668	0.9	0.25	0.15000000000000002	25	0.09999999999999998	0.7333333333333334	0.22268965574312555	15.0	14.0	1.0	5.0	4.0	1.0	15.0	14.0	1.0	5.0	4.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.8	0.2	0.75	0.9333333333333333	0.06666666666666667	0.25	0.8	0.2	57.63732266292662	0.3045037407935914	70.22546392378513	18	2	0.7333333333333334
Visvader_KEGG_CHOLINERGIC_SYNAPSE_weka_svm_weights_r_svm_rbf	0.8	0.85	0.25	0.09999999999999998	25	0.15000000000000002	0.5714285714285713	0.27373188882238614	16.0	14.0	2.0	4.0	3.0	1.0	15.0	14.0	1.0	5.0	3.0	2.0	0.8	0.875	0.125	0.2	0.75	0.25	0.75	0.9333333333333333	0.06666666666666667	0.25	0.6	0.4	70.84825357755876	0.35929087792694175	82.86061944673014	17	3	0.5333333333333332
Visvader_KEGG_CHRONIC_MYELOID_LEUKEMIA_weka_svm_weights_r_svm_rbf	0.8533333333333333	0.85	0.25	0.09999999999999998	25	0.15000000000000002	0.5714285714285713	0.23528267954442708	16.0	14.0	2.0	4.0	3.0	1.0	15.0	14.0	1.0	5.0	3.0	2.0	0.8	0.875	0.125	0.2	0.75	0.25	0.75	0.9333333333333333	0.06666666666666667	0.25	0.6	0.4	60.896693529145836	0.33133433485500025	76.41320700504467	17	3	0.5333333333333332
Visvader_KEGG_CIRCADIAN_RHYTHM_MAMMAL_weka_svm_weights_r_svm_rbf	0.4	0.65	0.25	-0.09999999999999998	NA	0.35	-0.1666666666666664	0.41076234959105895	18.0	13.0	5.0	2.0	0.0	2.0	15.0	13.0	2.0	5.0	0.0	5.0	0.9	0.7222222222222222	0.2777777777777778	0.1	0.0	1.0	0.75	0.8666666666666667	0.13333333333333333	0.25	0.0	1.0	106.31496107062704	0.47709207093073447	110.02824440892832	13	7	-0.1333333333333333
Visvader_KEGG_CITRATE_CYCLE_TCA_CYCLE_weka_svm_weights_r_svm_rbf	0.52	0.7	0.25	-0.050000000000000044	NA	0.30000000000000004	-0.09090909090909098	0.3883594575400925	19.0	14.0	5.0	1.0	0.0	1.0	15.0	14.0	1.0	5.0	0.0	5.0	0.95	0.7368421052631579	0.2631578947368421	0.05	0.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.0	1.0	100.51656548096513	0.46729355892903296	107.76848546708759	14	6	-0.06666666666666665
Visvader_KEGG_COLLECTING_DUCT_ACID_SECRETION_weka_svm_weights_r_svm_rbf	0.28	0.65	0.25	-0.09999999999999998	NA	0.35	-0.1666666666666664	0.4260998537631499	18.0	13.0	5.0	2.0	0.0	2.0	15.0	13.0	2.0	5.0	0.0	5.0	0.9	0.7222222222222222	0.2777777777777778	0.1	0.0	1.0	0.75	0.8666666666666667	0.13333333333333333	0.25	0.0	1.0	110.28466803281526	0.5056603818484647	116.61674438100738	13	7	-0.1333333333333333
Visvader_KEGG_COLORECTAL_CANCER_weka_svm_weights_r_svm_rbf	0.7866666666666666	0.9	0.25	0.15000000000000002	25	0.09999999999999998	0.6923076923076923	0.27412823445407797	17.0	15.0	2.0	3.0	3.0	0.0	15.0	15.0	0.0	5.0	3.0	2.0	0.85	0.8823529411764706	0.11764705882352941	0.15	1.0	0.0	0.75	1.0	0.0	0.25	0.6	0.4	70.95083715282018	0.36241387259513314	83.58085279701241	18	2	0.6000000000000001
Visvader_KEGG_COMPLEMENT_AND_COAGULATION_CASCADES_weka_svm_weights_r_svm_rbf	0.6666666666666666	0.8	0.25	0.050000000000000044	25	0.19999999999999996	0.4666666666666668	0.3335309505373455	15.0	13.0	2.0	5.0	3.0	2.0	15.0	13.0	2.0	5.0	3.0	2.0	0.75	0.8666666666666667	0.13333333333333333	0.25	0.6	0.4	0.75	0.8666666666666667	0.13333333333333333	0.25	0.6	0.4	86.32565778613649	0.42965938634996953	99.08919232650183	16	4	0.4666666666666668
Visvader_KEGG_CYANOAMINO_ACID_METABOLISM_weka_svm_weights_r_svm_rbf	0.026666666666666665	0.7	0.25	-0.050000000000000044	NA	0.30000000000000004	-0.09090909090909098	0.4479547195881306	19.0	14.0	5.0	1.0	0.0	1.0	15.0	14.0	1.0	5.0	0.0	5.0	0.95	0.7368421052631579	0.2631578947368421	0.05	0.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.0	1.0	115.94122154045733	0.5216602903833842	120.30668591234797	14	6	-0.06666666666666665
Visvader_KEGG_CYSTEINE_AND_METHIONINE_METABOLISM_weka_svm_weights_r_svm_rbf	0.6133333333333333	0.75	0.25	0.0	NA	0.25	0.1666666666666668	0.33141034639411293	18.0	14.0	4.0	2.0	1.0	1.0	15.0	14.0	1.0	5.0	1.0	4.0	0.9	0.7777777777777778	0.2222222222222222	0.1	0.5	0.5	0.75	0.9333333333333333	0.06666666666666667	0.25	0.2	0.8	85.77679553729982	0.41991270913903506	96.84138766219979	15	5	0.1333333333333333
Visvader_KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION_weka_svm_weights_r_svm_rbf	0.6666666666666666	0.8	0.25	0.050000000000000044	25	0.19999999999999996	0.3846153846153847	0.3256751171254155	17.0	14.0	3.0	3.0	2.0	1.0	15.0	14.0	1.0	5.0	2.0	3.0	0.85	0.8235294117647058	0.17647058823529413	0.15	0.6666666666666666	0.3333333333333333	0.75	0.9333333333333333	0.06666666666666667	0.25	0.4	0.6	84.2923832559899	0.4278167056119871	98.6642283856616	16	4	0.3333333333333335
Visvader_KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY_weka_svm_weights_r_svm_rbf	0.7466666666666667	0.8	0.25	0.050000000000000044	25	0.19999999999999996	0.3846153846153847	0.2958069768016332	17.0	14.0	3.0	3.0	2.0	1.0	15.0	14.0	1.0	5.0	2.0	3.0	0.85	0.8235294117647058	0.17647058823529413	0.15	0.6666666666666666	0.3333333333333333	0.75	0.9333333333333333	0.06666666666666667	0.25	0.4	0.6	76.56180576042271	0.3793334751619041	87.482896616116	16	4	0.3333333333333335
Visvader_KEGG_DILATED_CARDIOMYOPATHY_weka_svm_weights_r_svm_rbf	0.6	0.75	0.25	0.0	50	0.25	0.28571428571428564	0.356755781278392	16.0	13.0	3.0	4.0	2.0	2.0	15.0	13.0	2.0	5.0	2.0	3.0	0.8	0.8125	0.1875	0.2	0.5	0.5	0.75	0.8666666666666667	0.13333333333333333	0.25	0.4	0.6	92.336790448525	0.46495334125928184	107.22877823356527	15	5	0.2666666666666666
Visvader_KEGG_DNA_REPLICATION_weka_svm_weights_r_svm_rbf	0.8	0.95	0.25	0.19999999999999996	NA	0.050000000000000044	0.857142857142857	0.22684308533023906	16.0	15.0	1.0	4.0	4.0	0.0	15.0	15.0	0.0	5.0	4.0	1.0	0.8	0.9375	0.0625	0.2	1.0	0.0	0.75	1.0	0.0	0.25	0.8	0.2	58.71232796782658	0.30639243811428174	70.66104033152126	19	1	0.8
Visvader_KEGG_DORSO_VENTRAL_AXIS_FORMATION_weka_svm_weights_r_svm_rbf	0.7733333333333333	0.85	0.25	0.09999999999999998	NA	0.15000000000000002	0.5714285714285713	0.2602409945149705	16.0	14.0	2.0	4.0	3.0	1.0	15.0	14.0	1.0	5.0	3.0	2.0	0.8	0.875	0.125	0.2	0.75	0.25	0.75	0.9333333333333333	0.06666666666666667	0.25	0.6	0.4	67.35649269799237	0.34642258457319575	79.89289935134146	17	3	0.5333333333333332
Visvader_KEGG_DRUG_METABOLISM_CYTOCHROME_P450_weka_svm_weights_r_svm_rbf	0.8400000000000001	0.8	0.25	0.050000000000000044	25	0.19999999999999996	0.3846153846153847	0.23548870955689805	17.0	14.0	3.0	3.0	2.0	1.0	15.0	14.0	1.0	5.0	2.0	3.0	0.85	0.8235294117647058	0.17647058823529413	0.15	0.6666666666666666	0.3333333333333333	0.75	0.9333333333333333	0.06666666666666667	0.25	0.4	0.6	60.950018944138314	0.35777576570634134	82.51120023003689	16	4	0.3333333333333335
Visvader_KEGG_DRUG_METABOLISM_OTHER_ENZYMES_weka_svm_weights_r_svm_rbf	0.30666666666666664	0.65	0.25	-0.09999999999999998	25	0.35	-0.1666666666666664	0.4083340980306489	18.0	13.0	5.0	2.0	0.0	2.0	15.0	13.0	2.0	5.0	0.0	5.0	0.9	0.7222222222222222	0.2777777777777778	0.1	0.0	1.0	0.75	0.8666666666666667	0.13333333333333333	0.25	0.0	1.0	105.68647243146206	0.5246564541609938	120.99766918475677	13	7	-0.1333333333333333
Visvader_KEGG_D_ARGININE_AND_D_ORNITHINE_METABOLISM_weka_svm_weights_r_svm_rbf	0.37333333333333335	0.7	0.25	-0.050000000000000044	NA	0.30000000000000004	-0.09090909090909098	0.4098925052942235	19.0	14.0	5.0	1.0	0.0	1.0	15.0	14.0	1.0	5.0	0.0	5.0	0.95	0.7368421052631579	0.2631578947368421	0.05	0.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.0	1.0	106.08982489968137	0.4614469069358965	106.42011500848872	14	6	-0.06666666666666665
Visvader_KEGG_D_GLUTAMINE_AND_D_GLUTAMATE_METABOLISM_weka_svm_weights_r_svm_rbf	0.8	0.7	0.25	-0.050000000000000044	NA	0.30000000000000004	0.07692307692307666	0.32724587164705105	17.0	13.0	4.0	3.0	1.0	2.0	15.0	13.0	2.0	5.0	1.0	4.0	0.85	0.7647058823529411	0.23529411764705882	0.15	0.3333333333333333	0.6666666666666666	0.75	0.8666666666666667	0.13333333333333333	0.25	0.2	0.8	84.6989314851191	0.434312432800586	100.16229029502553	14	6	0.06666666666666665
Visvader_KEGG_ECM_RECEPTOR_INTERACTION_weka_svm_weights_r_svm_rbf	0.8533333333333333	0.9	0.25	0.15000000000000002	25	0.09999999999999998	0.6923076923076923	0.1982326998012252	17.0	15.0	2.0	3.0	3.0	0.0	15.0	15.0	0.0	5.0	3.0	2.0	0.85	0.8823529411764706	0.11764705882352941	0.15	1.0	0.0	0.75	1.0	0.0	0.25	0.6	0.4	51.30728700737594	0.31165579335811544	71.87488933984743	18	2	0.6000000000000001
Visvader_KEGG_ENDOCRINE_AND_OTHER_FACTOR_REGULATED_CALCIUM_REABSORPTION_weka_svm_weights_r_svm_rbf	0.7333333333333333	0.65	0.25	-0.09999999999999998	NA	0.35	0.0	0.3141271831162028	16.0	12.0	4.0	4.0	1.0	3.0	15.0	12.0	3.0	5.0	1.0	4.0	0.8	0.75	0.25	0.2	0.25	0.75	0.75	0.8	0.2	0.25	0.2	0.8	81.30350621831131	0.43386356183962127	100.05877047818021	13	7	0.0
Visvader_KEGG_ENDOCYTOSIS_weka_svm_weights_r_svm_rbf	0.8	0.9	0.25	0.15000000000000002	25	0.09999999999999998	0.6923076923076923	0.2425689130805028	17.0	15.0	2.0	3.0	3.0	0.0	15.0	15.0	0.0	5.0	3.0	2.0	0.85	0.8823529411764706	0.11764705882352941	0.15	1.0	0.0	0.75	1.0	0.0	0.25	0.6	0.4	62.78254220907131	0.32998650129344215	76.10236603834328	18	2	0.6000000000000001
Visvader_KEGG_ENDOMETRIAL_CANCER_weka_svm_weights_r_svm_rbf	0.8266666666666665	0.95	0.25	0.19999999999999996	25	0.050000000000000044	0.857142857142857	0.2239627898368362	16.0	15.0	1.0	4.0	4.0	0.0	15.0	15.0	0.0	5.0	4.0	1.0	0.8	0.9375	0.0625	0.2	1.0	0.0	0.75	1.0	0.0	0.25	0.8	0.2	57.96683972247526	0.3112185134835264	71.77404269022166	19	1	0.8
Visvader_KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION_weka_svm_weights_r_svm_rbf	0.8400000000000001	0.95	0.25	0.19999999999999996	25	0.050000000000000044	0.857142857142857	0.25560599015657515	16.0	15.0	1.0	4.0	4.0	0.0	15.0	15.0	0.0	5.0	4.0	1.0	0.8	0.9375	0.0625	0.2	1.0	0.0	0.75	1.0	0.0	0.25	0.8	0.2	66.15684451111358	0.3320801042878467	76.58519833843626	19	1	0.8
Visvader_KEGG_ERBB_SIGNALING_PATHWAY_weka_svm_weights_r_svm_rbf	0.8266666666666665	0.9	0.25	0.15000000000000002	25	0.09999999999999998	0.6923076923076923	0.26624514964208784	17.0	15.0	2.0	3.0	3.0	0.0	15.0	15.0	0.0	5.0	3.0	2.0	0.85	0.8823529411764706	0.11764705882352941	0.15	1.0	0.0	0.75	1.0	0.0	0.25	0.6	0.4	68.91050931912862	0.3458076605126089	79.75108392628275	18	2	0.6000000000000001
Visvader_KEGG_ETHER_LIPID_METABOLISM_weka_svm_weights_r_svm_rbf	0.7466666666666667	0.85	0.25	0.09999999999999998	NA	0.15000000000000002	0.5714285714285713	0.30152222605263024	16.0	14.0	2.0	4.0	3.0	1.0	15.0	14.0	1.0	5.0	3.0	2.0	0.8	0.875	0.125	0.2	0.75	0.25	0.75	0.9333333333333333	0.06666666666666667	0.25	0.6	0.4	78.0410467430337	0.3735963123561198	86.15977684559209	17	3	0.5333333333333332
Visvader_KEGG_FATTY_ACID_BIOSYNTHESIS_weka_svm_weights_r_svm_rbf	0.22666666666666666	0.75	0.25	0.0	NA	0.25	0.0	0.3983578503368458	20.0	15.0	5.0	0.0	0.0	0.0	15.0	15.0	0.0	5.0	0.0	5.0	1.0	0.75	0.25	0.0	NaN	NaN	0.75	1.0	0.0	0.25	0.0	1.0	103.10438479306598	0.45325613289658573	104.5311368786752	15	5	0.0
Visvader_KEGG_FATTY_ACID_ELONGATION_IN_MITOCHONDRIA_weka_svm_weights_r_svm_rbf	0.8533333333333333	0.8	0.25	0.050000000000000044	NA	0.19999999999999996	0.27272727272727293	0.2754434724765923	19.0	15.0	4.0	1.0	1.0	0.0	15.0	15.0	0.0	5.0	1.0	4.0	0.95	0.7894736842105263	0.21052631578947367	0.05	1.0	0.0	0.75	1.0	0.0	0.25	0.2	0.8	71.29125169982389	0.36970067520313704	85.26135462708677	16	4	0.19999999999999996
Visvader_KEGG_FATTY_ACID_METABOLISM_weka_svm_weights_r_svm_rbf	0.4133333333333333	0.65	0.25	-0.09999999999999998	NA	0.35	-0.1666666666666664	0.4267977984459342	18.0	13.0	5.0	2.0	0.0	2.0	15.0	13.0	2.0	5.0	0.0	5.0	0.9	0.7222222222222222	0.2777777777777778	0.1	0.0	1.0	0.75	0.8666666666666667	0.13333333333333333	0.25	0.0	1.0	110.46531253894767	0.5214285199751492	120.25323440334617	13	7	-0.1333333333333333
Visvader_KEGG_FAT_DIGESTION_AND_ABSORPTION_weka_svm_weights_r_svm_rbf	0.5866666666666667	0.8	0.25	0.050000000000000044	NA	0.19999999999999996	0.3846153846153847	0.33532948910684135	17.0	14.0	3.0	3.0	2.0	1.0	15.0	14.0	1.0	5.0	2.0	3.0	0.85	0.8235294117647058	0.17647058823529413	0.15	0.6666666666666666	0.3333333333333333	0.75	0.9333333333333333	0.06666666666666667	0.25	0.4	0.6	86.79116188647659	0.4353525254666221	100.40215923655562	16	4	0.3333333333333335
Visvader_KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY_weka_svm_weights_r_svm_rbf	0.7333333333333333	0.85	0.25	0.09999999999999998	25	0.15000000000000002	0.5	0.2718750248978396	18.0	15.0	3.0	2.0	2.0	0.0	15.0	15.0	0.0	5.0	2.0	3.0	0.9	0.8333333333333334	0.16666666666666666	0.1	1.0	0.0	0.75	1.0	0.0	0.25	0.4	0.6	70.36765350297026	0.3757166894497559	86.64878385977816	17	3	0.3999999999999999
Visvader_KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS_weka_svm_weights_r_svm_rbf	0.76	0.75	0.25	0.0	25	0.25	0.28571428571428564	0.3023335462659634	16.0	13.0	3.0	4.0	2.0	2.0	15.0	13.0	2.0	5.0	2.0	3.0	0.8	0.8125	0.1875	0.2	0.5	0.5	0.75	0.8666666666666667	0.13333333333333333	0.25	0.4	0.6	78.2510355041317	0.3913914273604347	90.2637336754762	15	5	0.2666666666666666
Visvader_KEGG_FOCAL_ADHESION_weka_svm_weights_r_svm_rbf	0.8666666666666668	0.9	0.25	0.15000000000000002	25	0.09999999999999998	0.6923076923076923	0.22840054200057586	17.0	15.0	2.0	3.0	3.0	0.0	15.0	15.0	0.0	5.0	3.0	2.0	0.85	0.8823529411764706	0.11764705882352941	0.15	1.0	0.0	0.75	1.0	0.0	0.25	0.6	0.4	59.11543440014905	0.30993885895027623	71.47892535266297	18	2	0.6000000000000001
Visvader_KEGG_FOLATE_BIOSYNTHESIS_weka_svm_weights_r_svm_rbf	0.4	0.75	0.25	0.0	NA	0.25	0.0	0.374102447922423	20.0	15.0	5.0	0.0	0.0	0.0	15.0	15.0	0.0	5.0	0.0	5.0	1.0	0.75	0.25	0.0	NaN	NaN	0.75	1.0	0.0	0.25	0.0	1.0	96.82651593286242	0.45833589001604247	105.70264399843768	15	5	0.0
Visvader_KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM_weka_svm_weights_r_svm_rbf	0.6533333333333333	0.75	0.25	0.0	NA	0.25	0.28571428571428564	0.34262233177110246	16.0	13.0	3.0	4.0	2.0	2.0	15.0	13.0	2.0	5.0	2.0	3.0	0.8	0.8125	0.1875	0.2	0.5	0.5	0.75	0.8666666666666667	0.13333333333333333	0.25	0.4	0.6	88.67872116428535	0.4314111152451269	99.49318071104688	15	5	0.2666666666666666
Visvader_KEGG_GALACTOSE_METABOLISM_weka_svm_weights_r_svm_rbf	0.44000000000000006	0.7	0.25	-0.050000000000000044	NA	0.30000000000000004	-0.09090909090909098	0.3912436258485926	19.0	14.0	5.0	1.0	0.0	1.0	15.0	14.0	1.0	5.0	0.0	5.0	0.95	0.7368421052631579	0.2631578947368421	0.05	0.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.0	1.0	101.26305610198868	0.4664905652625419	107.58329692848302	14	6	-0.06666666666666665
Visvader_KEGG_GAP_JUNCTION_weka_svm_weights_r_svm_rbf	0.7866666666666666	0.9	0.25	0.15000000000000002	25	0.09999999999999998	0.6923076923076923	0.2280671595350947	17.0	15.0	2.0	3.0	3.0	0.0	15.0	15.0	0.0	5.0	3.0	2.0	0.85	0.8823529411764706	0.11764705882352941	0.15	1.0	0.0	0.75	1.0	0.0	0.25	0.6	0.4	59.02914717378922	0.3272593749594772	75.47342889792478	18	2	0.6000000000000001
Visvader_KEGG_GASTRIC_ACID_SECRETION_weka_svm_weights_r_svm_rbf	0.76	0.8	0.25	0.050000000000000044	25	0.19999999999999996	0.5294117647058825	0.33529817303833676	13.0	12.0	1.0	7.0	4.0	3.0	15.0	12.0	3.0	5.0	4.0	1.0	0.65	0.9230769230769231	0.07692307692307693	0.35	0.5714285714285714	0.42857142857142855	0.75	0.8	0.2	0.25	0.8	0.2	86.78305655109892	0.41325447877894456	95.30584883850521	16	4	0.6000000000000001
Visvader_KEGG_GLIOMA_weka_svm_weights_r_svm_rbf	0.8666666666666668	0.95	0.25	0.19999999999999996	25	0.050000000000000044	0.857142857142857	0.2035575855047263	16.0	15.0	1.0	4.0	4.0	0.0	15.0	15.0	0.0	5.0	4.0	1.0	0.8	0.9375	0.0625	0.2	1.0	0.0	0.75	1.0	0.0	0.25	0.8	0.2	52.685492718870336	0.28447930842551894	65.60737598439407	19	1	0.8
Visvader_KEGG_GLUTAMATERGIC_SYNAPSE_weka_svm_weights_r_svm_rbf	0.8266666666666665	0.85	0.25	0.09999999999999998	25	0.15000000000000002	0.5	0.2582084048040024	18.0	15.0	3.0	2.0	2.0	0.0	15.0	15.0	0.0	5.0	2.0	3.0	0.9	0.8333333333333334	0.16666666666666666	0.1	1.0	0.0	0.75	1.0	0.0	0.25	0.4	0.6	66.83041065515357	0.3501357529600975	80.749240136902	17	3	0.3999999999999999
Visvader_KEGG_GLUTATHIONE_METABOLISM_weka_svm_weights_r_svm_rbf	0.29333333333333333	0.65	0.25	-0.09999999999999998	25	0.35	-0.1666666666666664	0.43054312269518336	18.0	13.0	5.0	2.0	0.0	2.0	15.0	13.0	2.0	5.0	0.0	5.0	0.9	0.7222222222222222	0.2777777777777778	0.1	0.0	1.0	0.75	0.8666666666666667	0.13333333333333333	0.25	0.0	1.0	111.4346905799298	0.5173394031303332	119.31019138286514	13	7	-0.1333333333333333
Visvader_KEGG_GLYCEROLIPID_METABOLISM_weka_svm_weights_r_svm_rbf	0.5333333333333333	0.65	0.25	-0.09999999999999998	25	0.35	0.0	0.37657744949914707	16.0	12.0	4.0	4.0	1.0	3.0	15.0	12.0	3.0	5.0	1.0	4.0	0.8	0.75	0.25	0.2	0.25	0.75	0.75	0.8	0.2	0.25	0.2	0.8	97.46710457624984	0.4612841834510148	106.38258728489711	13	7	0.0
Visvader_KEGG_GLYCEROPHOSPHOLIPID_METABOLISM_weka_svm_weights_r_svm_rbf	0.72	0.8	0.25	0.050000000000000044	25	0.19999999999999996	0.3846153846153847	0.28988127294090593	17.0	14.0	3.0	3.0	2.0	1.0	15.0	14.0	1.0	5.0	2.0	3.0	0.85	0.8235294117647058	0.17647058823529413	0.15	0.6666666666666666	0.3333333333333333	0.75	0.9333333333333333	0.06666666666666667	0.25	0.4	0.6	75.02809417294036	0.39729497310212464	91.62522512193593	16	4	0.3333333333333335
Visvader_KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM_weka_svm_weights_r_svm_rbf	0.3466666666666667	0.65	0.25	-0.09999999999999998	NA	0.35	-0.1666666666666664	0.42430188646816014	18.0	13.0	5.0	2.0	0.0	2.0	15.0	13.0	2.0	5.0	0.0	5.0	0.9	0.7222222222222222	0.2777777777777778	0.1	0.0	1.0	0.75	0.8666666666666667	0.13333333333333333	0.25	0.0	1.0	109.81931179175909	0.5083388046733989	117.2344493884232	13	7	-0.1333333333333333
Visvader_KEGG_GLYCOLYSIS_GLUCONEOGENESIS_weka_svm_weights_r_svm_rbf	0.6533333333333333	0.75	0.25	0.0	25	0.25	0.28571428571428564	0.3290875612934637	16.0	13.0	3.0	4.0	2.0	2.0	15.0	13.0	2.0	5.0	2.0	3.0	0.8	0.8125	0.1875	0.2	0.5	0.5	0.75	0.8666666666666667	0.13333333333333333	0.25	0.4	0.6	85.17560409948473	0.44707721279367113	103.10613786341086	15	5	0.2666666666666666
Visvader_KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE_weka_svm_weights_r_svm_rbf	0.6133333333333333	0.7	0.25	-0.050000000000000044	NA	0.30000000000000004	-0.09090909090909098	0.36039496642844987	19.0	14.0	5.0	1.0	0.0	1.0	15.0	14.0	1.0	5.0	0.0	5.0	0.95	0.7368421052631579	0.2631578947368421	0.05	0.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.0	1.0	93.27869719324585	0.4379651005251496	101.0046782566591	14	6	-0.06666666666666665
Visvader_KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE_weka_svm_weights_r_svm_rbf	0.5866666666666667	0.75	0.25	0.0	NA	0.25	0.28571428571428564	0.36869685671914587	16.0	13.0	3.0	4.0	2.0	2.0	15.0	13.0	2.0	5.0	2.0	3.0	0.8	0.8125	0.1875	0.2	0.5	0.5	0.75	0.8666666666666667	0.13333333333333333	0.25	0.4	0.6	95.42742173907305	0.4380099621855905	101.01502437230498	15	5	0.2666666666666666
Visvader_KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE_weka_svm_weights_r_svm_rbf	0.2	0.7	0.25	-0.050000000000000044	NA	0.30000000000000004	-0.09090909090909098	0.4127995411824335	19.0	14.0	5.0	1.0	0.0	1.0	15.0	14.0	1.0	5.0	0.0	5.0	0.95	0.7368421052631579	0.2631578947368421	0.05	0.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.0	1.0	106.84223418839456	0.47631127627275627	109.84817546480686	14	6	-0.06666666666666665
Visvader_KEGG_GLYCOSAMINOGLYCAN_DEGRADATION_weka_svm_weights_r_svm_rbf	0.06666666666666667	0.7	0.25	-0.050000000000000044	NA	0.30000000000000004	-0.09090909090909098	0.43638173011449843	19.0	14.0	5.0	1.0	0.0	1.0	15.0	14.0	1.0	5.0	0.0	5.0	0.95	0.7368421052631579	0.2631578947368421	0.05	0.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.0	1.0	112.94585955904665	0.5122543072678205	118.13745302795625	14	6	-0.06666666666666665
Visvader_KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES_weka_svm_weights_r_svm_rbf	0.14666666666666667	0.7	0.25	-0.050000000000000044	NA	0.30000000000000004	-0.09090909090909098	0.4304867405258218	19.0	14.0	5.0	1.0	0.0	1.0	15.0	14.0	1.0	5.0	0.0	5.0	0.95	0.7368421052631579	0.2631578947368421	0.05	0.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.0	1.0	111.42009754785975	0.49696384890387185	114.61112678507611	14	6	-0.06666666666666665
